image_id,analyte,concentration_order,concentration_mg_ml,patch_count,qc_pass_count,qc_review_count,highlight_fraction_mean,highlight_fraction_median,highlight_fraction_max,valid_fraction_min
glucose_01_c0,glucose,1,0.0,96,96,0,0.0,0.0,0.0,1.0
glucose_02_c0.01,glucose,2,0.01,96,96,0,0.0,0.0,0.0,1.0
glucose_03_c0.05,glucose,3,0.05,96,96,0,0.0,0.0,0.0,1.0
glucose_04_c0.1,glucose,4,0.1,96,96,0,0.0,0.0,0.0,1.0
glucose_05_c0.5,glucose,5,0.5,96,96,0,0.0,0.0,0.0,1.0
glucose_06_c1,glucose,6,1.0,96,96,0,0.0,0.0,0.0,1.0
glucose_07_c2.5,glucose,7,2.5,96,96,0,0.0,0.0,0.0,1.0
glucose_08_c5,glucose,8,5.0,96,96,0,0.0,0.0,0.0,1.0
glucose_09_c10,glucose,9,10.0,96,96,0,0.0,0.0,0.0,1.0
glucose_10_c15,glucose,10,15.0,96,96,0,0.0,0.0,0.0,1.0
glucose_11_c20,glucose,11,20.0,96,96,0,0.0,0.0,0.0,1.0
ketone_01_c0,ketone,1,0.0,96,96,0,3e-06,0.0,0.000285,0.999715
ketone_02_c0.01,ketone,2,0.01,96,96,0,0.001026,0.0,0.055794,0.944206
ketone_03_c0.05,ketone,3,0.05,96,96,0,0.002512,0.0,0.049395,0.950605
ketone_04_c0.1,ketone,4,0.1,96,96,0,0.009553,0.003481,0.06107,0.93893
ketone_05_c0.5,ketone,5,0.5,96,96,0,0.003461,0.0,0.054165,0.945835
ketone_06_c1,ketone,6,1.0,96,96,0,0.008801,0.003484,0.051439,0.948561
ketone_07_c5,ketone,7,5.0,96,96,0,0.003646,0.0,0.051264,0.948736
ketone_08_c10,ketone,8,10.0,96,96,0,0.002523,0.0,0.051,0.949
