patch_id,image_id,analyte,concentration_order,concentration_mg_ml,well_id,grid_row,grid_col,crop_file,circle_radius_px,r_mean,r_median,r_std,r_iqr,g_mean,g_median,g_std,g_iqr,b_mean,b_median,b_std,b_iqr,s_mean,s_median,s_std,s_iqr,v_mean,v_median,v_std,v_iqr,h_circular_mean_deg,h_circular_std_deg,h_resultant_length,h_sin_weighted,h_cos_weighted,r_chromaticity_mean,r_chromaticity_median,g_chromaticity_mean,g_chromaticity_median,b_chromaticity_mean,b_chromaticity_median,intensity_mean,intensity_median,r_bg_median,g_bg_median,b_bg_median,r_delta_bg,g_delta_bg,b_delta_bg,r_ratio_bg,g_ratio_bg,b_ratio_bg,roi_pixel_count,valid_pixel_count,highlight_pixel_count,highlight_fraction,valid_fraction,dark_fraction,background_pixel_count,qc_status,qc_reason
glucose_01_c0_wA01,glucose_01_c0,glucose,1,0.0,A01,1,1,crops/glucose/glucose_01_c0/glucose_01_c0_wA01.png,62.383,129.811771,130.0,7.905014,10.0,147.891631,148.0,7.984308,10.0,168.84028,169.0,7.695252,10.0,0.231672,0.231373,0.013927,0.015686,0.662119,0.662745,0.030177,0.039216,212.769333,1.811988,0.9995,-0.540988,-0.840436,0.290572,0.290909,0.33117,0.331169,0.378258,0.37788,148.847894,149.0,173.0,182.0,187.0,-43.0,-34.0,-18.0,0.751445,0.813187,0.903743,5998,5998,0,0.0,1.0,0.0,2969,pass,
glucose_01_c0_wA02,glucose_01_c0,glucose,1,0.0,A02,1,2,crops/glucose/glucose_01_c0/glucose_01_c0_wA02.png,64.403,116.629955,117.0,7.845863,9.0,134.219176,135.0,7.872201,9.0,155.883127,156.0,7.996737,10.0,0.252424,0.25098,0.014542,0.015686,0.611306,0.611765,0.03136,0.039216,213.766862,1.525541,0.999646,-0.555618,-0.831011,0.286595,0.286747,0.329986,0.330097,0.383419,0.383133,135.577419,136.0,213.0,217.0,220.0,-96.0,-82.0,-64.0,0.549296,0.62212,0.709091,6383,6383,0,0.0,1.0,0.0,3161,pass,
glucose_01_c0_wA03,glucose_01_c0,glucose,1,0.0,A03,1,3,crops/glucose/glucose_01_c0/glucose_01_c0_wA03.png,61.037,119.709824,120.0,6.175591,7.0,137.946432,138.0,6.176553,7.0,159.966498,160.0,6.476129,8.0,0.25201,0.25098,0.012875,0.015686,0.62732,0.627451,0.025397,0.031373,213.130423,1.934238,0.99943,-0.546235,-0.836952,0.286565,0.287037,0.330316,0.330166,0.383119,0.382979,139.207584,139.333333,52.0,65.0,76.0,68.0,73.0,84.0,2.307692,2.123077,2.105263,5731,5731,0,0.0,1.0,0.0,2842,pass,
glucose_01_c0_wA04,glucose_01_c0,glucose,1,0.0,A04,1,4,crops/glucose/glucose_01_c0/glucose_01_c0_wA04.png,66.647,113.875091,114.0,6.347747,10.0,132.720638,133.0,6.215576,8.0,154.885622,155.0,6.731641,10.0,0.265209,0.262745,0.01233,0.019608,0.607395,0.607843,0.026399,0.039216,212.60973,1.892361,0.999455,-0.53862,-0.841902,0.283533,0.284038,0.330596,0.330049,0.38587,0.385714,133.827117,134.333333,212.0,217.0,219.0,-98.0,-84.0,-64.0,0.537736,0.612903,0.707763,6837,6837,0,0.0,1.0,0.0,3399,pass,
glucose_01_c0_wA05,glucose_01_c0,glucose,1,0.0,A05,1,5,crops/glucose/glucose_01_c0/glucose_01_c0_wA05.png,67.32,110.911647,112.0,7.657877,8.0,129.067269,130.0,7.644322,9.0,151.475904,152.0,7.899096,8.0,0.268428,0.266667,0.015155,0.015686,0.594023,0.596078,0.030977,0.031373,213.429223,1.829505,0.99949,-0.550626,-0.834142,0.283159,0.283505,0.329711,0.32973,0.38713,0.387013,130.48494,131.333333,210.0,214.0,215.0,-98.0,-84.0,-63.0,0.533333,0.607477,0.706977,6972,6972,0,0.0,1.0,0.0,3461,pass,
glucose_01_c0_wA06,glucose_01_c0,glucose,1,0.0,A06,1,6,crops/glucose/glucose_01_c0/glucose_01_c0_wA06.png,72.032,106.439079,106.0,7.372491,8.0,123.285089,123.0,7.811861,8.0,144.844508,144.0,7.607044,8.0,0.265714,0.266667,0.016079,0.015686,0.568018,0.564706,0.029832,0.031373,214.11296,2.266541,0.999218,-0.560388,-0.827286,0.284022,0.283784,0.329088,0.3297,0.38689,0.387701,124.856226,124.333333,210.0,214.0,215.0,-104.0,-91.0,-71.0,0.504762,0.574766,0.669767,7994,7994,0,0.0,1.0,0.0,3972,pass,
glucose_01_c0_wA07,glucose_01_c0,glucose,1,0.0,A07,1,7,crops/glucose/glucose_01_c0/glucose_01_c0_wA07.png,72.032,105.108328,105.0,9.395141,9.0,120.929994,121.0,9.392985,9.0,142.68278,143.0,9.876149,10.0,0.264534,0.262745,0.020489,0.019608,0.55954,0.560784,0.03873,0.039216,214.672913,1.924936,0.999436,-0.56857,-0.821949,0.284764,0.285311,0.327963,0.327225,0.387273,0.387268,122.907034,123.333333,211.0,215.0,216.0,-106.0,-94.0,-73.0,0.49763,0.562791,0.662037,7985,7985,0,0.0,1.0,0.0,3956,pass,
glucose_01_c0_wA08,glucose_01_c0,glucose,1,0.0,A08,1,8,crops/glucose/glucose_01_c0/glucose_01_c0_wA08.png,68.666,103.115061,104.0,9.618712,8.0,119.783657,120.0,9.72223,8.0,140.321758,141.0,9.862704,8.0,0.266627,0.262745,0.02488,0.015686,0.550281,0.552941,0.038677,0.031373,212.949716,1.740578,0.999539,-0.543652,-0.838761,0.283487,0.284153,0.32975,0.330532,0.386764,0.385675,121.073492,121.333333,204.0,208.0,209.0,-100.0,-88.0,-68.0,0.509804,0.576923,0.674641,7257,7257,0,0.0,1.0,0.0,3606,pass,
glucose_01_c0_wA09,glucose_01_c0,glucose,1,0.0,A09,1,9,crops/glucose/glucose_01_c0/glucose_01_c0_wA09.png,68.218,106.08096,107.0,6.585552,7.0,122.882887,123.0,6.6386,7.0,142.057649,143.0,7.096361,7.0,0.253642,0.254902,0.012683,0.011765,0.557089,0.560784,0.027829,0.027451,211.542026,1.193636,0.999783,-0.52301,-0.852072,0.285801,0.285714,0.331213,0.330729,0.382986,0.383202,123.673832,124.0,213.0,217.0,218.0,-106.0,-94.0,-75.0,0.502347,0.56682,0.655963,7164,7164,0,0.0,1.0,0.0,3554,pass,
glucose_01_c0_wA10,glucose_01_c0,glucose,1,0.0,A10,1,10,crops/glucose/glucose_01_c0/glucose_01_c0_wA10.png,64.852,107.746949,108.0,6.293181,7.0,124.460528,124.0,6.169476,7.0,142.188166,142.0,6.412404,7.0,0.242585,0.243137,0.012552,0.015686,0.557601,0.556863,0.025147,0.027451,210.601643,1.341473,0.999726,-0.508927,-0.860492,0.287672,0.287599,0.332443,0.332447,0.379885,0.379947,124.798548,124.333333,139.0,148.0,149.0,-31.0,-24.0,-7.0,0.776978,0.837838,0.95302,6473,6473,0,0.0,1.0,0.0,3209,pass,
