outer_fold,analyte,concentration_order,concentration_mg_ml,ml_train_count,ml_test_count,dl_train_count,dl_validation_count,dl_test_count
1,glucose,1,0.0,76,20,60,16,20
1,glucose,2,0.01,76,20,60,16,20
1,glucose,3,0.05,76,20,60,16,20
1,glucose,4,0.1,76,20,60,16,20
1,glucose,5,0.5,76,20,60,16,20
1,glucose,6,1.0,76,20,60,16,20
1,glucose,7,2.5,76,20,60,16,20
1,glucose,8,5.0,76,20,60,16,20
1,glucose,9,10.0,76,20,60,16,20
1,glucose,10,15.0,76,20,60,16,20
1,glucose,11,20.0,76,20,60,16,20
1,ketone,1,0.0,76,20,60,16,20
1,ketone,2,0.01,76,20,60,16,20
1,ketone,3,0.05,76,20,60,16,20
1,ketone,4,0.1,76,20,60,16,20
1,ketone,5,0.5,76,20,60,16,20
1,ketone,6,1.0,76,20,60,16,20
1,ketone,7,5.0,76,20,60,16,20
1,ketone,8,10.0,76,20,60,16,20
2,glucose,1,0.0,77,19,61,16,19
2,glucose,2,0.01,77,19,61,16,19
2,glucose,3,0.05,77,19,61,16,19
2,glucose,4,0.1,77,19,61,16,19
2,glucose,5,0.5,77,19,61,16,19
2,glucose,6,1.0,77,19,61,16,19
2,glucose,7,2.5,77,19,61,16,19
2,glucose,8,5.0,77,19,61,16,19
2,glucose,9,10.0,77,19,61,16,19
2,glucose,10,15.0,77,19,61,16,19
2,glucose,11,20.0,77,19,61,16,19
2,ketone,1,0.0,77,19,61,16,19
2,ketone,2,0.01,77,19,61,16,19
2,ketone,3,0.05,77,19,61,16,19
2,ketone,4,0.1,77,19,61,16,19
2,ketone,5,0.5,77,19,61,16,19
2,ketone,6,1.0,77,19,61,16,19
2,ketone,7,5.0,77,19,61,16,19
2,ketone,8,10.0,77,19,61,16,19
3,glucose,1,0.0,77,19,61,16,19
3,glucose,2,0.01,77,19,61,16,19
3,glucose,3,0.05,77,19,61,16,19
3,glucose,4,0.1,77,19,61,16,19
3,glucose,5,0.5,77,19,61,16,19
3,glucose,6,1.0,77,19,61,16,19
3,glucose,7,2.5,77,19,61,16,19
3,glucose,8,5.0,77,19,61,16,19
3,glucose,9,10.0,77,19,61,16,19
3,glucose,10,15.0,77,19,61,16,19
3,glucose,11,20.0,77,19,61,16,19
3,ketone,1,0.0,77,19,61,16,19
3,ketone,2,0.01,77,19,61,16,19
3,ketone,3,0.05,77,19,61,16,19
3,ketone,4,0.1,77,19,61,16,19
3,ketone,5,0.5,77,19,61,16,19
3,ketone,6,1.0,77,19,61,16,19
3,ketone,7,5.0,77,19,61,16,19
3,ketone,8,10.0,77,19,61,16,19
4,glucose,1,0.0,77,19,61,16,19
4,glucose,2,0.01,77,19,61,16,19
4,glucose,3,0.05,77,19,61,16,19
4,glucose,4,0.1,77,19,61,16,19
4,glucose,5,0.5,77,19,61,16,19
4,glucose,6,1.0,77,19,61,16,19
4,glucose,7,2.5,77,19,61,16,19
4,glucose,8,5.0,77,19,61,16,19
4,glucose,9,10.0,77,19,61,16,19
4,glucose,10,15.0,77,19,61,16,19
4,glucose,11,20.0,77,19,61,16,19
4,ketone,1,0.0,77,19,61,16,19
4,ketone,2,0.01,77,19,61,16,19
4,ketone,3,0.05,77,19,61,16,19
4,ketone,4,0.1,77,19,61,16,19
4,ketone,5,0.5,77,19,61,16,19
4,ketone,6,1.0,77,19,61,16,19
4,ketone,7,5.0,77,19,61,16,19
4,ketone,8,10.0,77,19,61,16,19
5,glucose,1,0.0,77,19,61,16,19
5,glucose,2,0.01,77,19,61,16,19
5,glucose,3,0.05,77,19,61,16,19
5,glucose,4,0.1,77,19,61,16,19
5,glucose,5,0.5,77,19,61,16,19
5,glucose,6,1.0,77,19,61,16,19
5,glucose,7,2.5,77,19,61,16,19
5,glucose,8,5.0,77,19,61,16,19
5,glucose,9,10.0,77,19,61,16,19
5,glucose,10,15.0,77,19,61,16,19
5,glucose,11,20.0,77,19,61,16,19
5,ketone,1,0.0,77,19,61,16,19
5,ketone,2,0.01,77,19,61,16,19
5,ketone,3,0.05,77,19,61,16,19
5,ketone,4,0.1,77,19,61,16,19
5,ketone,5,0.5,77,19,61,16,19
5,ketone,6,1.0,77,19,61,16,19
5,ketone,7,5.0,77,19,61,16,19
5,ketone,8,10.0,77,19,61,16,19
