outer_fold,analyte,pipeline,role,patch_count,well_count,percentage_of_analyte,concentration_levels,min_patches_per_level,max_patches_per_level
1,glucose,ML,train,836,76,0.7916666666666666,11,76,76
1,glucose,ML,test,220,20,0.20833333333333334,11,20,20
1,glucose,DL,train,660,60,0.625,11,60,60
1,glucose,DL,validation,176,16,0.16666666666666666,11,16,16
1,glucose,DL,test,220,20,0.20833333333333334,11,20,20
1,ketone,ML,train,608,76,0.7916666666666666,8,76,76
1,ketone,ML,test,160,20,0.20833333333333334,8,20,20
1,ketone,DL,train,480,60,0.625,8,60,60
1,ketone,DL,validation,128,16,0.16666666666666666,8,16,16
1,ketone,DL,test,160,20,0.20833333333333334,8,20,20
2,glucose,ML,train,847,77,0.8020833333333334,11,77,77
2,glucose,ML,test,209,19,0.19791666666666666,11,19,19
2,glucose,DL,train,671,61,0.6354166666666666,11,61,61
2,glucose,DL,validation,176,16,0.16666666666666666,11,16,16
2,glucose,DL,test,209,19,0.19791666666666666,11,19,19
2,ketone,ML,train,616,77,0.8020833333333334,8,77,77
2,ketone,ML,test,152,19,0.19791666666666666,8,19,19
2,ketone,DL,train,488,61,0.6354166666666666,8,61,61
2,ketone,DL,validation,128,16,0.16666666666666666,8,16,16
2,ketone,DL,test,152,19,0.19791666666666666,8,19,19
3,glucose,ML,train,847,77,0.8020833333333334,11,77,77
3,glucose,ML,test,209,19,0.19791666666666666,11,19,19
3,glucose,DL,train,671,61,0.6354166666666666,11,61,61
3,glucose,DL,validation,176,16,0.16666666666666666,11,16,16
3,glucose,DL,test,209,19,0.19791666666666666,11,19,19
3,ketone,ML,train,616,77,0.8020833333333334,8,77,77
3,ketone,ML,test,152,19,0.19791666666666666,8,19,19
3,ketone,DL,train,488,61,0.6354166666666666,8,61,61
3,ketone,DL,validation,128,16,0.16666666666666666,8,16,16
3,ketone,DL,test,152,19,0.19791666666666666,8,19,19
4,glucose,ML,train,847,77,0.8020833333333334,11,77,77
4,glucose,ML,test,209,19,0.19791666666666666,11,19,19
4,glucose,DL,train,671,61,0.6354166666666666,11,61,61
4,glucose,DL,validation,176,16,0.16666666666666666,11,16,16
4,glucose,DL,test,209,19,0.19791666666666666,11,19,19
4,ketone,ML,train,616,77,0.8020833333333334,8,77,77
4,ketone,ML,test,152,19,0.19791666666666666,8,19,19
4,ketone,DL,train,488,61,0.6354166666666666,8,61,61
4,ketone,DL,validation,128,16,0.16666666666666666,8,16,16
4,ketone,DL,test,152,19,0.19791666666666666,8,19,19
5,glucose,ML,train,847,77,0.8020833333333334,11,77,77
5,glucose,ML,test,209,19,0.19791666666666666,11,19,19
5,glucose,DL,train,671,61,0.6354166666666666,11,61,61
5,glucose,DL,validation,176,16,0.16666666666666666,11,16,16
5,glucose,DL,test,209,19,0.19791666666666666,11,19,19
5,ketone,ML,train,616,77,0.8020833333333334,8,77,77
5,ketone,ML,test,152,19,0.19791666666666666,8,19,19
5,ketone,DL,train,488,61,0.6354166666666666,8,61,61
5,ketone,DL,validation,128,16,0.16666666666666666,8,16,16
5,ketone,DL,test,152,19,0.19791666666666666,8,19,19
