well_id,grid_row,grid_col,is_edge,outer_test_fold,dl_role_outer_1,dl_role_outer_2,dl_role_outer_3,dl_role_outer_4,dl_role_outer_5,inner_fold_outer_1,inner_fold_outer_2,inner_fold_outer_3,inner_fold_outer_4,inner_fold_outer_5
A01,1,1,1,4,train,train,train,test,train,4,3,3,0,2
A02,1,2,1,4,train,validation,train,test,validation,5,1,2,0,1
A03,1,3,1,4,train,train,train,test,train,4,3,2,0,5
A04,1,4,1,2,validation,test,train,validation,train,1,0,5,1,5
A05,1,5,1,5,train,validation,train,train,test,5,1,4,2,0
A06,1,6,1,1,test,train,validation,train,train,0,5,1,3,5
A07,1,7,1,3,validation,train,test,train,validation,1,5,0,3,1
A08,1,8,1,3,train,train,test,train,train,3,2,0,5,3
A09,1,9,1,5,train,validation,train,train,test,2,1,4,5,0
A10,1,10,1,3,train,train,test,train,train,3,4,0,2,3
A11,1,11,1,1,test,validation,train,validation,validation,0,1,5,1,1
A12,1,12,1,1,test,train,train,train,validation,0,5,4,4,1
B01,2,1,1,3,validation,train,test,train,train,1,2,0,3,4
B02,2,2,0,5,train,validation,train,train,test,5,1,5,5,0
B03,2,3,0,4,train,validation,train,test,validation,3,1,4,0,1
B04,2,4,0,2,train,test,validation,train,train,3,0,1,2,2
B05,2,5,0,5,train,validation,train,train,test,4,1,2,2,0
B06,2,6,0,4,train,train,train,test,validation,5,4,5,0,1
B07,2,7,0,4,train,train,validation,test,train,4,3,1,0,4
B08,2,8,0,2,train,test,train,train,train,2,0,4,3,5
B09,2,9,0,5,train,train,train,train,test,5,2,4,2,0
B10,2,10,0,2,validation,test,validation,train,train,1,0,1,3,4
B11,2,11,0,3,train,train,test,train,validation,2,5,0,2,1
B12,2,12,1,2,validation,test,train,train,train,1,0,3,5,4
C01,3,1,1,1,test,train,train,validation,validation,0,4,5,1,1
C02,3,2,0,3,train,train,test,validation,train,2,5,0,1,2
C03,3,3,0,1,test,train,train,train,train,0,4,4,2,5
C04,3,4,0,2,train,test,train,train,train,2,0,5,3,5
C05,3,5,0,3,train,validation,test,train,train,5,1,0,3,3
C06,3,6,0,4,train,train,train,test,train,5,5,5,0,2
C07,3,7,0,4,train,validation,train,test,train,3,1,2,0,5
C08,3,8,0,2,train,test,train,validation,train,2,0,5,1,3
C09,3,9,0,1,test,validation,train,validation,train,0,1,3,1,4
C10,3,10,0,3,train,train,test,train,train,2,3,0,4,5
C11,3,11,0,5,train,train,train,train,test,4,5,4,5,0
C12,3,12,1,2,train,test,validation,validation,train,2,0,1,1,2
D01,4,1,1,5,train,train,train,train,test,2,3,4,5,0
D02,4,2,0,1,test,train,train,train,validation,0,5,3,5,1
D03,4,3,0,1,test,train,train,train,validation,0,2,5,3,1
D04,4,4,0,5,train,train,validation,train,test,2,5,1,5,0
D05,4,5,0,3,train,train,test,train,validation,2,4,0,4,1
D06,4,6,0,5,validation,train,train,train,test,1,3,4,5,0
D07,4,7,0,2,train,test,validation,train,train,4,0,1,5,4
D08,4,8,0,5,train,train,validation,train,test,5,3,1,5,0
D09,4,9,0,3,train,validation,test,train,train,3,1,0,4,4
D10,4,10,0,3,train,train,test,train,validation,5,2,0,5,1
D11,4,11,0,4,validation,train,train,test,train,1,3,4,0,3
D12,4,12,1,4,train,train,train,test,train,5,5,3,0,4
E01,5,1,1,5,train,train,train,train,test,4,2,5,5,0
E02,5,2,0,1,test,train,train,validation,train,0,4,3,1,2
E03,5,3,0,1,test,train,train,train,train,0,3,4,4,4
E04,5,4,0,4,train,train,train,test,validation,5,4,3,0,1
E05,5,5,0,5,train,train,validation,train,test,4,2,1,2,0
E06,5,6,0,5,train,validation,train,train,test,5,1,2,4,0
E07,5,7,0,2,validation,test,train,train,train,1,0,2,5,5
E08,5,8,0,1,test,train,train,validation,train,0,4,4,1,4
E09,5,9,0,5,train,train,train,validation,test,4,5,5,1,0
