outer_fold,well_id,grid_row,grid_col,is_edge,inner_fold,ml_role,dl_role
1,A01,1,1,1,4,train,train
1,A02,1,2,1,5,train,train
1,A03,1,3,1,4,train,train
1,A04,1,4,1,1,train,validation
1,A05,1,5,1,5,train,train
1,A06,1,6,1,0,test,test
1,A07,1,7,1,1,train,validation
1,A08,1,8,1,3,train,train
1,A09,1,9,1,2,train,train
1,A10,1,10,1,3,train,train
1,A11,1,11,1,0,test,test
1,A12,1,12,1,0,test,test
1,B01,2,1,1,1,train,validation
1,B02,2,2,0,5,train,train
1,B03,2,3,0,3,train,train
1,B04,2,4,0,3,train,train
1,B05,2,5,0,4,train,train
1,B06,2,6,0,5,train,train
1,B07,2,7,0,4,train,train
1,B08,2,8,0,2,train,train
1,B09,2,9,0,5,train,train
1,B10,2,10,0,1,train,validation
1,B11,2,11,0,2,train,train
1,B12,2,12,1,1,train,validation
1,C01,3,1,1,0,test,test
1,C02,3,2,0,2,train,train
1,C03,3,3,0,0,test,test
1,C04,3,4,0,2,train,train
1,C05,3,5,0,5,train,train
1,C06,3,6,0,5,train,train
1,C07,3,7,0,3,train,train
1,C08,3,8,0,2,train,train
1,C09,3,9,0,0,test,test
1,C10,3,10,0,2,train,train
1,C11,3,11,0,4,train,train
1,C12,3,12,1,2,train,train
1,D01,4,1,1,2,train,train
1,D02,4,2,0,0,test,test
1,D03,4,3,0,0,test,test
1,D04,4,4,0,2,train,train
1,D05,4,5,0,2,train,train
1,D06,4,6,0,1,train,validation
1,D07,4,7,0,4,train,train
1,D08,4,8,0,5,train,train
1,D09,4,9,0,3,train,train
1,D10,4,10,0,5,train,train
1,D11,4,11,0,1,train,validation
1,D12,4,12,1,5,train,train
1,E01,5,1,1,4,train,train
1,E02,5,2,0,0,test,test
1,E03,5,3,0,0,test,test
1,E04,5,4,0,5,train,train
1,E05,5,5,0,4,train,train
1,E06,5,6,0,5,train,train
1,E07,5,7,0,1,train,validation
1,E08,5,8,0,0,test,test
1,E09,5,9,0,4,train,train
1,E10,5,10,0,0,test,test
1,E11,5,11,0,0,test,test
