analyte,feature_space,model,target_transform,outer_fold,feature_group,mean_absolute_shap,shap_share,permutation_mae_increase,permutation_mae_increase_std,permutation_share,shap_direction_rho,observed_concentration_rho,direction_aligned,shap_additivity_max_error
glucose,RGB_primary,ExtraTrees,raw,1,R,0.8254648986904138,0.13043672047277952,1.3927895033670032,0.08693107940131181,0.14145964354809368,0.8898384396809438,0.7818181818181819,True,2.7533531010703882e-12
glucose,RGB_primary,ExtraTrees,raw,1,G,4.053480047441427,0.6405149931013615,5.682204324915825,0.3602562455009842,0.5771170707611408,0.9610657707832977,0.9,True,2.7533531010703882e-12
glucose,RGB_primary,ExtraTrees,raw,1,B,1.449525255345495,0.2290482864258591,2.7708496111111107,0.19235626303763864,0.28142328569076563,-0.6834934791406718,0.31266433311275804,False,2.7533531010703882e-12
glucose,RGB_primary,ExtraTrees,raw,2,R,0.7235276722459599,0.11543558916570136,1.1968420804536597,0.08999453945850129,0.12322617499036606,0.8094683742401672,0.7818181818181819,True,1.0622613899613498e-12
glucose,RGB_primary,ExtraTrees,raw,2,G,4.138255320383138,0.6602400424349398,5.841991827042353,0.250588884004658,0.6014881319167341,0.9641603281909342,0.9,True,1.0622613899613498e-12
glucose,RGB_primary,ExtraTrees,raw,2,B,1.406021221610033,0.2243243683993589,2.673729844054581,0.1510837008373083,0.2752856930928999,-0.6551964240895627,0.31266433311275804,False,1.0622613899613498e-12
glucose,RGB_primary,ExtraTrees,raw,3,R,0.7733268778067052,0.12454723696391905,1.2496893974836079,0.06297423539762957,0.13403383327918647,0.874752801423376,0.7818181818181819,True,9.130474154517287e-13
glucose,RGB_primary,ExtraTrees,raw,3,G,4.212013635200932,0.678360826933203,5.747024515328727,0.3739568500805047,0.6163897423552175,0.9669220291031013,0.9,True,9.130474154517287e-13
glucose,RGB_primary,ExtraTrees,raw,3,B,1.2237645354707614,0.19709193610287795,2.326972255892256,0.1763496737794846,0.24957642436559613,-0.6050138766675063,0.31266433311275804,False,9.130474154517287e-13
glucose,RGB_primary,ExtraTrees,raw,4,R,0.8200521708526494,0.13266909004802663,1.5093113804713807,0.10865751083636324,0.14910748402387322,0.8721776108822183,0.7818181818181819,True,9.201528428093297e-13
