analyte,feature_space,model,target_transform,outer_fold,mae,rmse,r2,best_inner_mae,best_parameters
glucose,RGB_primary,ExtraTrees,raw,1,0.49012727272727274,0.9500035135211773,0.9797746670264619,0.5681070286195287,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,RGB_primary,ExtraTrees,raw,2,0.581209144072302,1.2864975060323085,0.9629094601506687,0.5259926843434343,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,RGB_primary,ExtraTrees,raw,3,0.5368717171717172,1.1641842434758334,0.9696269299775278,0.5636868316498317,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,RGB_primary,ExtraTrees,raw,4,0.4945667729930888,1.1012388503800037,0.9728225749965896,0.5549898156565657,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,RGB_primary,ExtraTrees,raw,5,0.49725124933545983,1.2195612599223091,0.9666686811739342,0.5905687373737374,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,HSV_primary,ExtraTrees,raw,1,0.36623757575757576,0.9148022973696159,0.9812457478662642,0.3607784393939394,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,HSV_primary,ExtraTrees,raw,2,0.38559553429027116,1.0318119128494976,0.9761413243740894,0.36142673232323236,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,HSV_primary,ExtraTrees,raw,3,0.396976076555024,1.0168367580779207,0.9768288423584934,0.34771755555555556,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,HSV_primary,ExtraTrees,raw,4,0.3025314194577353,0.7616812428745658,0.9869985503384622,0.3894860656565656,"{""max_depth"": null, ""min_samples_leaf"": 1}"
glucose,HSV_primary,ExtraTrees,raw,5,0.2974874003189793,0.846283075181496,0.9839499434015319,0.37936932323232325,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,RGB_primary,RandomForest,raw,1,0.13003791666666667,0.5109081248946168,0.9771949428194556,0.1518215793650794,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,RGB_primary,RandomForest,raw,2,0.13361034356725146,0.5086884727717507,0.9773926665696877,0.147964072337963,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,RGB_primary,RandomForest,raw,3,0.1549131171679198,0.6467938133185552,0.9634508516817555,0.13545636802248678,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,RGB_primary,RandomForest,raw,4,0.14551493055555553,0.5639067813979299,0.9722182127207705,0.13659825347222224,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,RGB_primary,RandomForest,raw,5,0.08601271929824564,0.26153699067914327,0.994023983448961,0.1528630349702381,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,HSV_primary,RandomForest,raw,1,0.03478708333333336,0.22063100020169424,0.9957471642050211,0.04057977777777779,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,HSV_primary,RandomForest,raw,2,0.010214912280701772,0.0394362443498497,0.999864125911167,0.04314669444444447,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,HSV_primary,RandomForest,raw,3,0.06496622807017545,0.4095923659299208,0.9853428593913434,0.03744561805555556,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,HSV_primary,RandomForest,raw,4,0.045953508771929844,0.3402342115564663,0.9898864992936124,0.02829377083333335,"{""max_depth"": null, ""min_samples_leaf"": 1}"
ketone,HSV_primary,RandomForest,raw,5,0.04599254385964914,0.4076946512823175,0.9854783630610241,0.024518381944444462,"{""max_depth"": null, ""min_samples_leaf"": 1}"
