analyte,feature_space,model,feature_group,shap_share_mean,shap_share_std,permutation_share_mean,permutation_share_std,permutation_mae_increase_mean,shap_direction_rho_mean,shap_direction_rho_min,shap_direction_rho_max,observed_concentration_rho,top_rank_fold_count,direction_aligned_fold_count
glucose,HSV_primary,ExtraTrees,Hue,0.8505239953788198,0.0025628917810927893,0.9165298087783889,0.00606722563915628,5.772948756937799,-0.8917734584814143,-0.9089553622319836,-0.8610021557389979,-0.9,5,5
glucose,HSV_primary,ExtraTrees,Saturation,0.09676886719212698,0.003931338389649117,0.04035098188036006,0.005638219946354638,0.25413067591706534,-0.9112604721644892,-0.9420694967492542,-0.884047510447622,-0.8192412728200082,0,5
glucose,HSV_primary,ExtraTrees,Value,0.05270713742905332,0.0021100213106882092,0.04311920934125103,0.005544758434826377,0.27210339351408824,0.7924542377472124,0.7498462753852335,0.8174170495398051,0.690909090909091,0,5
glucose,RGB_primary,ExtraTrees,B,0.2243732968836841,0.017250864280666994,0.27456053828719384,0.01457250443792018,2.679035235707957,-0.6588053427514307,-0.704197175497506,-0.6050138766675063,0.31266433311275804,0,0
glucose,RGB_primary,ExtraTrees,G,0.6517156963017987,0.02115926704645395,0.5915226259062596,0.020811454130533535,5.760465921158959,0.9657156189112299,0.9610657707832977,0.9685058754998752,0.9,5,5
glucose,RGB_primary,ExtraTrees,R,0.12391100681451728,0.007857300153429825,0.13391683580654662,0.01172405876213138,1.3065668622186781,0.8510779929502643,0.8091527385246168,0.8898384396809438,0.7818181818181819,0,5
ketone,HSV_primary,RandomForest,Hue,0.9889521568106538,0.004583993513826467,0.9780789281414796,0.011685603155815242,2.9888010921052635,-0.9767764439884031,-0.9780241270497406,-0.9747380010098494,-1.0,5,5
ketone,HSV_primary,RandomForest,Saturation,0.007086743291877762,0.00243257602834372,0.015712008370214567,0.0071235440843180715,0.048042951169590606,0.2569506222941807,-0.23781685048486773,0.8275077790697166,0.3333333333333334,0,3
ketone,HSV_primary,RandomForest,Value,0.0039610998974683774,0.00280801035444837,0.006209063488305784,0.005140494904709465,0.019113083771929818,-0.37847495467903064,-0.6754525401419885,-0.14474343780612875,-0.9761904761904763,0,5
ketone,RGB_primary,RandomForest,B,0.27403847542344073,0.015271033956186612,0.24172816662814411,0.010380078442634808,0.7489740150062657,0.8228903367345914,0.7817396016659257,0.8845482708691857,0.9047619047619048,0,5
ketone,RGB_primary,RandomForest,G,0.6745531925862782,0.021901209525852,0.6694800739002196,0.036458719869638744,2.076891034917154,-0.9175776106944319,-0.9440024652679947,-0.8860538032169282,-0.9761904761904763,5,5
ketone,RGB_primary,RandomForest,R,0.05140833199028118,0.01517344806998724,0.08879175947163634,0.028493770722343093,0.27393951347465884,-0.8760359329518922,-0.9175183618203022,-0.8187741905213527,-0.9761904761904763,0,5
