analyte,feature_space,model,outer_fold,patch_id,actual_concentration,prediction,feature_group,feature_value,shap_value,normalized_shap_percent
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wA06,0.0,0.5,R,106.0,-0.42689992224066176,-2.1344996112033088
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wA11,0.0,0.4066666666666667,R,106.0,-0.46983305727661717,-2.349165286383086
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wA12,0.0,0.05888888888888889,R,105.0,-0.46455710175168163,-2.3227855087584084
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wC01,0.0,0.40666666666666673,R,122.0,-0.15042467826058448,-0.7521233913029224
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wC03,0.0,0.39166666666666666,R,100.0,-0.42463960241089144,-2.1231980120544574
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wC09,0.0,0.39166666666666666,R,100.0,-0.42463960241089144,-2.1231980120544574
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wD02,0.0,0.5,R,99.0,-0.5083592494350531,-2.5417962471752653
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wD03,0.0,0.0,R,99.0,-0.647819040668511,-3.239095203342555
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wE02,0.0,0.0,R,102.0,-0.5856842165405065,-2.9284210827025325
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wE03,0.0,1.0,R,97.0,-0.4176181492987871,-2.0880907464939353
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wE08,0.0,0.5886,R,91.0,-0.7605645031111841,-3.8028225155559205
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wE10,0.0,0.5,R,90.0,-0.9245463820031713,-4.622731910015856
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wE11,0.0,0.7183333333333334,R,91.0,-0.840260516835035,-4.201302584175175
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wF01,0.0,1.2666666666666666,R,132.0,-0.40110914622436084,-2.005545731121804
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wF12,0.0,0.5,R,102.0,-0.4754990612425803,-2.3774953062129014
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wG06,0.0,0.2939000000000004,R,84.0,-0.9023476889431504,-4.511738444715752
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wG09,0.0,0.5,R,84.0,-0.9744089904719613,-4.872044952359806
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wG11,0.0,0.3505333333333331,R,93.0,-0.7352648349677803,-3.6763241748389013
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wG12,0.0,0.427,R,97.0,-0.6751044332212158,-3.3755221661060792
glucose,RGB_primary,ExtraTrees,1,glucose_01_c0_wH05,0.0,0.47553333333333353,R,76.0,-0.9729842480206563,-4.864921240103281
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wA06,0.01,0.6009333333333333,R,94.0,-0.5981398443313103,-2.990699221656551
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wA11,0.01,0.019533333333333232,R,85.0,-1.018110399211429,-5.090551996057146
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wA12,0.01,0.04224444444444447,R,90.0,-0.7836530904025092,-3.918265452012546
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wC01,0.01,0.04999999999999988,R,100.0,-0.5462371129173151,-2.7311855645865757
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wC03,0.01,0.5061333333333333,R,91.0,-0.778991695480707,-3.8949584774035353
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wC09,0.01,0.009666666666666674,R,90.0,-0.8870352610395583,-4.435176305197792
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wD02,0.01,0.14300000000000032,R,88.0,-0.7990701421948339,-3.9953507109741695
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wD03,0.01,0.3114,R,87.0,-0.9115114022905155,-4.557557011452578
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wE02,0.01,0.010000000000000007,R,84.0,-1.0235383807311629,-5.117691903655815
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wE03,0.01,0.049933333333333205,R,80.0,-1.071529851690398,-5.35764925845199
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wE08,0.01,0.08069999999999981,R,73.0,-1.100256902832348,-5.50128451416174
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wE10,0.01,0.054066666666666506,R,78.0,-1.0851768171948508,-5.425884085974254
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wE11,0.01,0.5410222222222223,R,87.0,-0.9869427914255119,-4.93471395712756
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wF01,0.01,0.049999999999999885,R,104.0,-0.4380811110363872,-2.190405555181936
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wF12,0.01,0.4056666666666662,R,96.0,-0.657795551935551,-3.288977759677755
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wG06,0.01,0.010600000000000007,R,81.0,-1.0346536186561057,-5.173268093280528
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wG09,0.01,0.054022222222222055,R,84.0,-1.049800027808021,-5.249000139040105
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wG11,0.01,0.049999999999999885,R,96.0,-0.6779346890040888,-3.389673445020444
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wG12,0.01,0.04973333333333321,R,99.0,-0.5717107511618056,-2.858553755809028
glucose,RGB_primary,ExtraTrees,1,glucose_02_c0.01_wH05,0.01,0.153266666666667,R,79.0,-1.0242510868587191,-5.121255434293596
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wA06,0.05,0.06399999999999996,R,110.0,-0.2422061715537741,-1.2110308577688706
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wA11,0.05,0.3912222222222221,R,106.0,-0.396396715427289,-1.981983577136445
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wA12,0.05,0.28099999999999975,R,123.0,-0.1805825519641627,-0.9029127598208134
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wC01,0.05,0.09999999999999976,R,107.0,-0.4286576335081484,-2.143288167540742
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wC03,0.05,0.054999999999999896,R,103.0,-0.4748297148300377,-2.3741485741501887
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wC09,0.05,0.04053333333333324,R,98.0,-0.5827157081235741,-2.9135785406178707
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wD02,0.05,0.010000000000000007,R,100.0,-0.6224015842975129,-3.1120079214875647
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wD03,0.05,0.045733333333333265,R,100.0,-0.6133965101537391,-3.0669825507686954
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wE02,0.05,0.03266666666666656,R,102.0,-0.5940576896033822,-2.970288448016911
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wE03,0.05,0.04999999999999988,R,102.0,-0.5871628981888276,-2.9358144909441384
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wE08,0.05,0.22793333333333352,R,90.0,-0.952522181705241,-4.762610908526204
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wE10,0.05,0.04999999999999988,R,103.0,-0.4757314023543898,-2.378657011771949
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wE11,0.05,0.09999999999999976,R,107.0,-0.4286576335081484,-2.143288167540742
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wF01,0.05,0.07766666666666662,R,105.0,-0.44732904393221956,-2.236645219661098
glucose,RGB_primary,ExtraTrees,1,glucose_03_c0.05_wF12,0.05,0.08433333333333329,R,118.0,0.09208704015131257,0.46043520075656286
