analyte,architecture,representation,evaluation_unit,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_rho_mean,spearman_rho_std,normalized_mae_mean,normalized_mae_std,normalized_rmse_mean,normalized_rmse_std,best_epoch_mean,best_epoch_std,epochs_run_mean,epochs_run_std,training_seconds_mean,training_seconds_std,validation_mae_mean,validation_mae_std
glucose,lite,rgb,concentration_median,0.2913354929748488,0.06302742266330232,0.40703621171274185,0.08883430606250527,0.996145635714657,0.001465392566118117,0.9272074230922953,0.013734889519916487,0.01456677464874244,0.003151371133165117,0.020351810585637092,0.004441715303125263,51.0,20.285462775100793,66.0,20.285462775100793,12.159643779997714,3.544514632521323,0.5736563341098171,0.03419946463377619
glucose,lite,rgb,patch,0.5616766972758633,0.04292100800459948,0.9764024995736043,0.10009847773612696,0.978455359162006,0.004455575489516184,0.89653743143278,0.0033218153240735532,0.028083834863793167,0.0021460504002299733,0.04882012497868021,0.005004923886806347,51.0,20.285462775100793,66.0,20.285462775100793,12.159643779997714,3.544514632521323,0.5736563341098171,0.03419946463377619
glucose,tiny,g,concentration_median,1.5804163025162503,0.21054649741574613,2.3552349729463864,0.1832543710893317,0.8750857376941891,0.01988295029492755,0.8800000000000001,0.030424000964875568,0.07902081512581252,0.010527324870787303,0.1177617486473193,0.009162718554466593,34.4,19.894722918402255,49.4,19.894722918402255,5.507260940014385,2.2748530113727927,2.2804027371299624,0.14578334822998523
glucose,tiny,g,patch,2.276013719019395,0.19458118320454237,3.5325989144449723,0.25464049277601153,0.7191752110326964,0.03859385355936192,0.7588291731529229,0.022543438073015905,0.11380068595096977,0.009729059160227116,0.1766299457222486,0.012732024638800578,34.4,19.894722918402255,49.4,19.894722918402255,5.507260940014385,2.2748530113727927,2.2804027371299624,0.14578334822998523
glucose,tiny,hue_circular,concentration_median,0.3955561435889277,0.04206404887421793,0.6235280508078468,0.12769894592413775,0.9909948553904829,0.0036732243620598527,0.9426764808492993,0.0037273851560391887,0.019777807179446386,0.0021032024437108976,0.03117640254039234,0.006384947296206889,46.2,17.10847743079436,61.2,17.10847743079436,7.098003700003028,1.8339455224136585,0.6058072420538947,0.03820674155445908
glucose,tiny,hue_circular,patch,0.5776089873220419,0.029700384184811232,1.1270772833456917,0.09901014231474879,0.9713565326086904,0.004944967986656193,0.9089085580849726,0.011545434920891058,0.028880449366102096,0.0014850192092405613,0.056353864167284586,0.004950507115737438,46.2,17.10847743079436,61.2,17.10847743079436,7.098003700003028,1.8339455224136585,0.6058072420538947,0.03820674155445908
glucose,tiny,rgb,concentration_median,0.2851805628882588,0.04518695356796205,0.4272721687351231,0.07065387523697148,0.9958192678703879,0.0013709686227366175,0.9332212482017972,0.006900674551542462,0.014259028144412942,0.0022593476783981017,0.021363608436756155,0.0035326937618485738,55.2,23.177575369309018,70.2,23.177575369309018,8.249566200003027,3.300928883596286,0.5197145709287361,0.08841127750465022
glucose,tiny,rgb,patch,0.523169142938064,0.037065178584997055,0.9880464435366406,0.052304828880754134,0.9780733372635358,0.0023370134598371547,0.8979298422729496,0.010289591637424796,0.026158457146903197,0.001853258929249852,0.04940232217683203,0.002615241444037707,55.2,23.177575369309018,70.2,23.177575369309018,8.249566200003027,3.300928883596286,0.5197145709287361,0.08841127750465022
ketone,lite,rgb,concentration_median,0.06287496058650696,0.018854239745417358,0.09537466599515888,0.03048655283007539,0.9991403237185457,0.0004990162976985604,0.9892240693054027,0.012275379988790245,0.006287496058650696,0.0018854239745417362,0.009537466599515886,0.0030486552830075384,57.0,26.38181191654584,69.2,21.004761364985796,8.574856060021556,2.3689032945623287,0.17907088681947977,0.027793240172283844
ketone,lite,rgb,patch,0.17549333881731388,0.014002884641196837,0.3208530299922393,0.02569673068179267,0.9909597453324646,0.0014175716031524172,0.9018958065619807,0.03047032616755462,0.01754933388173139,0.001400288464119684,0.03208530299922393,0.002569673068179268,57.0,26.38181191654584,69.2,21.004761364985796,8.574856060021556,2.3689032945623287,0.17907088681947977,0.027793240172283844
ketone,tiny,g,concentration_median,0.3044696713304565,0.10738535544133543,0.4709860287345773,0.19559007185204963,0.9779458494920916,0.016657844849794653,0.974967835382329,0.002733907959082651,0.030446967133045656,0.010738535544133544,0.047098602873457726,0.019559007185204962,33.2,12.336936410632909,48.2,12.336936410632909,4.07618775999872,0.9453725677164021,0.5749418800816958,0.06599089017799066
ketone,tiny,g,patch,0.6009740881603897,0.05917766311252632,1.2461544592752962,0.12078175477056366,0.8633086703444313,0.026766185384351885,0.8962349646212218,0.01442171808668216,0.060097408816038964,0.005917766311252632,0.12461544592752963,0.012078175477056367,33.2,12.336936410632909,48.2,12.336936410632909,4.07618775999872,0.9453725677164021,0.5749418800816958,0.06599089017799066
ketone,tiny,hue_circular,concentration_median,0.07067450401433122,0.03836270055285423,0.12348342109914226,0.08515377417641821,0.998161012317795,0.002651386542697112,0.9964178784328028,0.0032700146434660547,0.007067450401433123,0.0038362700552854235,0.012348342109914224,0.00851537741764182,34.0,10.319883720275149,49.0,10.319883720275149,4.358900760009419,0.9137689811701377,0.1835083858594981,0.033466940852933606
ketone,tiny,hue_circular,patch,0.1797341643698801,0.01985153507634429,0.3652089638790868,0.054089179836122527,0.9881427680871211,0.0032769426935060153,0.9369169636218002,0.01647881972031438,0.01797341643698801,0.0019851535076344283,0.03652089638790868,0.005408917983612251,34.0,10.319883720275149,49.0,10.319883720275149,4.358900760009419,0.9137689811701377,0.1835083858594981,0.033466940852933606
ketone,tiny,rgb,concentration_median,0.0851907739697347,0.029566712086144857,0.12657552748009274,0.05214740398190355,0.9984102030629204,0.0013173628962969053,0.9639086032802574,0.017510135899771736,0.008519077396973471,0.002956671208614485,0.012657552748009273,0.005214740398190355,36.0,13.729530217745982,51.0,13.729530217745982,4.641752259992063,1.180958400752938,0.18326409868177296,0.03867162466741325
