analyte,outer_fold,architecture,representation,target_transform,validation_mae,best_epoch,epochs_run,training_seconds
glucose,1,tiny,rgb,raw,0.5228485017758802,43,58,4.771012399985921
glucose,1,tiny,g,raw,2.258085181214321,45,60,5.333824200031813
glucose,1,tiny,hue_circular,raw,0.5764783684620054,65,80,8.1533546000137
glucose,1,lite,rgb,raw,0.5583041667843746,59,74,17.065856400004122
glucose,2,tiny,rgb,raw,0.4435771183938313,62,77,9.65381950000301
glucose,2,tiny,g,raw,2.0926319781920615,49,64,7.716961300000548
glucose,2,tiny,hue_circular,raw,0.591253462789813,34,49,5.810740599990822
glucose,2,lite,rgb,raw,0.5421904940025383,19,34,8.060035099973902
glucose,3,tiny,rgb,raw,0.47139500424734737,75,90,11.284655700030271
glucose,3,tiny,g,raw,2.200200805205826,52,67,7.841950900037773
glucose,3,tiny,hue_circular,raw,0.6220742963380519,25,40,4.736837600008585
glucose,3,lite,rgb,raw,0.562940366100162,58,73,11.439287399989553
glucose,4,tiny,rgb,raw,0.4915925120411044,75,90,10.918690400023479
glucose,4,tiny,g,raw,2.4069919490762075,9,24,2.6958551999996416
glucose,4,tiny,hue_circular,raw,0.5742217742923816,61,76,9.328748399973847
glucose,4,lite,rgb,raw,0.5734171651206061,46,61,10.012477500014938
glucose,5,tiny,rgb,raw,0.669159718185517,21,36,4.619652999972459
glucose,5,tiny,g,raw,2.4441037719613963,17,32,3.9477131000021473
glucose,5,tiny,hue_circular,raw,0.6650083083872217,46,61,7.460337300028186
glucose,5,lite,rgb,raw,0.6314294785414044,73,88,14.220562500006054
ketone,1,tiny,rgb,raw,0.185036506349,15,30,2.8837375000002794
ketone,1,tiny,g,raw,0.5088689159643947,45,60,4.985261699999683
ketone,1,tiny,hue_circular,raw,0.1857585653011591,48,63,5.501627399993595
ketone,1,lite,rgb,raw,0.16236524891550458,63,78,10.637964400055353
ketone,2,tiny,rgb,raw,0.21938044629366174,32,47,4.281365700007882
ketone,2,tiny,g,raw,0.5787064897608358,21,36,3.095740799966734
ketone,2,tiny,hue_circular,raw,0.19095390925661557,42,57,5.196225500025321
ketone,2,lite,rgb,raw,0.21097186236437931,35,50,7.139122600026894
ketone,3,tiny,rgb,raw,0.11775014796621219,50,65,6.010132999974303
ketone,3,tiny,g,raw,0.5862109743748875,19,34,3.0330396000063047
ketone,3,tiny,hue_circular,raw,0.12839629771166158,25,40,3.5721156000508927
ketone,3,lite,rgb,raw,0.14730055413748444,35,50,5.819989899988286
ketone,4,tiny,rgb,raw,0.1977062891634927,46,61,5.336469699977897
ketone,4,tiny,g,raw,0.5242713337913768,43,58,4.830918199964799
ketone,4,tiny,hue_circular,raw,0.19296933150279852,28,43,3.730762999970466
ketone,4,lite,rgb,raw,0.16938080177767428,53,68,7.867067400016822
ketone,5,tiny,rgb,raw,0.19644710363649814,37,52,4.697055399999954
ketone,5,tiny,g,raw,0.6766516865169843,38,53,4.4359785000560805
ketone,5,tiny,hue_circular,raw,0.21946382552525578,27,42,3.7937723000068218
ketone,5,lite,rgb,raw,0.20533596690235628,99,100,11.41013600002043
