analyte,outer_fold,architecture,representation,target_transform,selected_target,epoch,training_loss,validation_mae,learning_rate
glucose,1,tiny,rgb,raw,1,1,0.6046136046900894,5.42256844657941,0.001
glucose,1,tiny,rgb,raw,1,2,0.24767654971642927,4.965866743756657,0.001
glucose,1,tiny,rgb,raw,1,3,0.15899143327366222,4.6940611052440255,0.001
glucose,1,tiny,rgb,raw,1,4,0.15131973082369024,4.125159220635715,0.001
glucose,1,tiny,rgb,raw,1,5,0.12550792043859307,3.722079986699468,0.001
glucose,1,tiny,rgb,raw,1,6,0.1331685957583514,2.7622455849106347,0.001
glucose,1,tiny,rgb,raw,1,7,0.10930853978250966,2.0887556087982913,0.001
glucose,1,tiny,rgb,raw,1,8,0.10029844433972329,2.091482898411052,0.001
glucose,1,tiny,rgb,raw,1,9,0.1132541995156895,1.6516429545000972,0.001
glucose,1,tiny,rgb,raw,1,10,0.10861728326840835,1.3362788915210573,0.001
glucose,1,tiny,rgb,raw,1,11,0.10632240998022484,1.3751338800825874,0.001
glucose,1,tiny,rgb,raw,1,12,0.0912084777246822,1.2492928718255885,0.001
glucose,1,tiny,rgb,raw,1,13,0.09486675793022821,1.3763001635839023,0.001
glucose,1,tiny,rgb,raw,1,14,0.08780511703455086,1.4781457722738935,0.001
glucose,1,tiny,rgb,raw,1,15,0.09257340110612639,1.109952797162794,0.001
glucose,1,tiny,rgb,raw,1,16,0.08657791677749518,1.715385500039031,0.001
glucose,1,tiny,rgb,raw,1,17,0.07938814398014184,1.1216468620766893,0.001
glucose,1,tiny,rgb,raw,1,18,0.07982709403290893,1.6704107266345338,0.001
glucose,1,tiny,rgb,raw,1,19,0.086360576794003,1.1866349592070813,0.001
glucose,1,tiny,rgb,raw,1,20,0.058744368927948404,0.9307426337596276,0.001
glucose,1,tiny,rgb,raw,1,21,0.06624290378707828,0.8225740376410333,0.001
glucose,1,tiny,rgb,raw,1,22,0.04809729705254237,0.7395575079423867,0.001
glucose,1,tiny,rgb,raw,1,23,0.04874075576663017,0.8100313680790309,0.001
glucose,1,tiny,rgb,raw,1,24,0.04859783979076328,0.6935630186266614,0.001
glucose,1,tiny,rgb,raw,1,25,0.04804481739799182,0.7087234178953824,0.001
glucose,1,tiny,rgb,raw,1,26,0.039511714988585675,0.787128689868981,0.001
glucose,1,tiny,rgb,raw,1,27,0.04536158147860657,0.980816093197581,0.001
glucose,1,tiny,rgb,raw,1,28,0.054319920661774546,1.3155129919382003,0.001
glucose,1,tiny,rgb,raw,1,29,0.05403229987079447,0.8947236108228368,0.001
glucose,1,tiny,rgb,raw,1,30,0.047801428401108945,0.720929417593045,0.001
glucose,1,tiny,rgb,raw,1,31,0.05383384439981345,0.8632828033135563,0.001
glucose,1,tiny,rgb,raw,1,32,0.059048725427551706,0.6794052369221311,0.0005
glucose,1,tiny,rgb,raw,1,33,0.04210183893640836,0.6923469960677843,0.0005
glucose,1,tiny,rgb,raw,1,34,0.04653024817958023,0.7876023199017964,0.0005
glucose,1,tiny,rgb,raw,1,35,0.04536015599062949,0.6233521694521897,0.0005
glucose,1,tiny,rgb,raw,1,36,0.05952160195870833,0.8873597459682881,0.0005
glucose,1,tiny,rgb,raw,1,37,0.04448214353937091,0.7151786046277084,0.0005
glucose,1,tiny,rgb,raw,1,38,0.045143124370863943,0.6779966831358906,0.0005
glucose,1,tiny,rgb,raw,1,39,0.06293763396414843,0.7426234230911057,0.0005
glucose,1,tiny,rgb,raw,1,40,0.05123843572130709,0.9373485192004606,0.0005
glucose,1,tiny,rgb,raw,1,41,0.051160269072561555,0.5668524695576743,0.0005
glucose,1,tiny,rgb,raw,1,42,0.04126488524630214,0.8724020650359072,0.0005
glucose,1,tiny,rgb,raw,1,43,0.03889369564977559,0.5228485017758802,0.0005
glucose,1,tiny,rgb,raw,1,44,0.0489025074875716,0.7316430961899113,0.0005
glucose,1,tiny,rgb,raw,1,45,0.038244299816362785,0.8588793522184299,0.0005
glucose,1,tiny,rgb,raw,1,46,0.03994764116677371,0.6181420993266055,0.0005
glucose,1,tiny,rgb,raw,1,47,0.040798273276199,0.6505906399877287,0.0005
glucose,1,tiny,rgb,raw,1,48,0.03819628614142086,0.9225479216978406,0.0005
glucose,1,tiny,rgb,raw,1,49,0.037675146081230855,0.5478112992799091,0.0005
glucose,1,tiny,rgb,raw,1,50,0.039911340233502964,0.6277062183113126,0.0005
glucose,1,tiny,rgb,raw,1,51,0.03538268721013358,0.6566632937963325,0.00025
glucose,1,tiny,rgb,raw,1,52,0.03587455814986518,0.57488406831133,0.00025
