index,analyte,comparison_model,concentration_order,actual_concentration,mean,std,median,count
0,glucose,CNN central ROI,1,0.0,0.2830321838003529,0.1594049837213279,0.25514889222829185,96
1,glucose,CNN central ROI,2,0.01,0.04714528779333952,0.06053228209930204,0.01,96
2,glucose,CNN central ROI,3,0.05,0.06986588817999324,0.09619874446944858,0.05,96
3,glucose,CNN central ROI,4,0.1,0.10716267608096293,0.09494666507885537,0.0970544521689627,96
4,glucose,CNN central ROI,5,0.5,0.16641515172398608,0.1319306240944414,0.1397115078917519,96
5,glucose,CNN central ROI,6,1.0,0.43931584792919337,0.20592603067640877,0.4428240464133938,96
6,glucose,CNN central ROI,7,2.5,0.24883192930432405,0.1963697124568506,0.21219445589913133,96
7,glucose,CNN central ROI,8,5.0,0.2701809895844434,0.36404123467834715,0.12781247240618843,96
8,glucose,CNN central ROI,9,10.0,1.1600116071883269,1.1587685952869895,0.688420778080407,96
9,glucose,CNN central ROI,10,15.0,1.4224092047294654,1.0304790265484485,1.2699573133263877,96
10,glucose,CNN central ROI,11,20.0,0.9292086301432775,1.3768759501928984,0.5261235719994932,96
11,glucose,CNN full patch,1,0.0,0.25327614409705396,0.1859467093770507,0.221520509499701,96
12,glucose,CNN full patch,2,0.01,0.046984165743341154,0.07653609177035521,0.01,96
13,glucose,CNN full patch,3,0.05,0.06688503390938459,0.06330493032254017,0.05,96
14,glucose,CNN full patch,4,0.1,0.1008331455393105,0.09823233188588379,0.09421536288285878,96
15,glucose,CNN full patch,5,0.5,0.1437508796252871,0.11186156051712506,0.11280299074067782,96
16,glucose,CNN full patch,6,1.0,0.4017653357011239,0.23211773456355378,0.3663489715820335,96
17,glucose,CNN full patch,7,2.5,0.23663578559273088,0.1914070324683679,0.19510686892851092,96
18,glucose,CNN full patch,8,5.0,0.4266369697896157,0.4021678178937856,0.3243088642156553,96
19,glucose,CNN full patch,9,10.0,0.779729265807528,0.6720625635540677,0.597964615044595,96
20,glucose,CNN full patch,10,15.0,1.0224782258608316,0.9455298810226208,0.7597860250353987,96
21,glucose,CNN full patch,11,20.0,1.0088867704830955,1.35775032683454,0.4195075597867248,96
22,glucose,Nested-selected ML,1,0.0,0.3284793975148474,0.22301383574208916,0.27448842051444017,96
23,glucose,Nested-selected ML,2,0.01,0.037940081078450656,0.06822735326204894,0.0222698128857942,96
24,glucose,Nested-selected ML,3,0.05,0.014945182495325346,0.029707871869999746,0.00930974630513855,96
25,glucose,Nested-selected ML,4,0.1,0.07026007492286132,0.08248136044149154,0.040278620623961654,96
26,glucose,Nested-selected ML,5,0.5,0.13295184558708734,0.11979380843920456,0.08258000927416712,96
27,glucose,Nested-selected ML,6,1.0,0.41222904824112977,0.24019272494395874,0.40811961932582363,96
28,glucose,Nested-selected ML,7,2.5,0.03552812718416543,0.23723103602967016,0.0,96
29,glucose,Nested-selected ML,8,5.0,0.059083215212475115,0.2065836402084163,0.0,96
30,glucose,Nested-selected ML,9,10.0,0.615819267762819,1.3489936859354017,0.03333333333333144,96
31,glucose,Nested-selected ML,10,15.0,1.0388478577755278,1.216790723326423,0.5620519515596136,96
32,glucose,Nested-selected ML,11,20.0,1.1125155495275627,1.6708424129085395,0.36666666666666714,96
33,ketone,CNN central ROI,1,0.0,0.0317205646444335,0.06597467259944241,0.00269577126230695,96
34,ketone,CNN central ROI,2,0.01,0.040111855605469,0.07076330849336605,0.01239101974168145,96
35,ketone,CNN central ROI,3,0.05,0.04654329223822285,0.05348068695887812,0.03307119244722855,96
36,ketone,CNN central ROI,4,0.1,0.05540615646626818,0.042609876873873756,0.04297851549070324,96
37,ketone,CNN central ROI,5,0.5,0.08821841055064973,0.06783769265609735,0.07143923644428435,96
38,ketone,CNN central ROI,6,1.0,0.1621082400712006,0.2866625147498041,0.1117736179500094,96
39,ketone,CNN central ROI,7,5.0,0.4475414242244169,0.3933624633748466,0.34197824532344834,96
40,ketone,CNN central ROI,8,10.0,0.2842515357225104,0.5806036109670316,0.0,96
41,ketone,CNN full patch,1,0.0,0.02070386329177823,0.05078219046787142,0.0,96
42,ketone,CNN full patch,2,0.01,0.028941135329521903,0.05561787062911049,0.01,96
43,ketone,CNN full patch,3,0.05,0.05282226697944383,0.055938871574472596,0.03760034376438205,96
44,ketone,CNN full patch,4,0.1,0.06491272990057236,0.06358117274897637,0.052479912425637446,96
45,ketone,CNN full patch,5,0.5,0.09065982624114384,0.06713247369793639,0.07848670384061199,96
46,ketone,CNN full patch,6,1.0,0.11823763153424716,0.17839710342552315,0.08573152994319932,96
47,ketone,CNN full patch,7,5.0,0.5409681207011338,0.380227787841131,0.43559591785804264,96
48,ketone,CNN full patch,8,10.0,0.25940564057650267,0.5040676003915334,0.0,96
49,ketone,Nested-selected ML,1,0.0,0.012176388888888846,0.021883004121822737,0.0031999999999999997,96
50,ketone,Nested-selected ML,2,0.01,0.019763888888888855,0.06734357046838844,0.0043999999999999005,96
51,ketone,Nested-selected ML,3,0.05,0.02114375,0.035762531051269045,0.014300000000000049,96
52,ketone,Nested-selected ML,4,0.1,0.019414583333333544,0.043210046701720996,0.008166666666666912,96
53,ketone,Nested-selected ML,5,0.5,0.02683611111111112,0.08156894542471298,0.0,96
54,ketone,Nested-selected ML,6,1.0,0.044444444444444446,0.4088685476760867,0.0,96
55,ketone,Nested-selected ML,7,5.0,0.08430555555555556,0.574839294433628,0.0,96
56,ketone,Nested-selected ML,8,10.0,0.09756944444444442,0.5209358378663244,0.0,96
