analyte,outer_fold,evaluation_unit,comparison_model,mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,mean_absolute_log1p_error,unclipped_mae,clipped_fraction,n_observations
glucose,1,patch,Mean baseline,5.5100826446281,6.6800139802892256,0.0,,0.275504132231405,0.3340006990144613,1.1671083184368771,5.5100826446281,0.0,220
glucose,1,concentration_median,Mean baseline,5.5100826446281,6.6800139802892256,0.0,,0.275504132231405,0.3340006990144613,1.1671083184368771,5.5100826446281,0.0,11
glucose,2,patch,Mean baseline,5.510082644628099,6.6800139802892256,0.0,,0.2755041322314049,0.3340006990144613,1.1671083184368771,5.510082644628099,0.0,209
glucose,2,concentration_median,Mean baseline,5.510082644628099,6.6800139802892256,0.0,,0.2755041322314049,0.3340006990144613,1.1671083184368771,5.510082644628099,0.0,11
glucose,3,patch,Mean baseline,5.510082644628099,6.6800139802892256,0.0,,0.2755041322314049,0.3340006990144613,1.1671083184368771,5.510082644628099,0.0,209
glucose,3,concentration_median,Mean baseline,5.510082644628099,6.6800139802892256,0.0,,0.2755041322314049,0.3340006990144613,1.1671083184368771,5.510082644628099,0.0,11
glucose,4,patch,Mean baseline,5.510082644628099,6.6800139802892256,0.0,,0.2755041322314049,0.3340006990144613,1.1671083184368771,5.510082644628099,0.0,209
glucose,4,concentration_median,Mean baseline,5.510082644628099,6.6800139802892256,0.0,,0.2755041322314049,0.3340006990144613,1.1671083184368771,5.510082644628099,0.0,11
glucose,5,patch,Mean baseline,5.510082644628099,6.6800139802892256,0.0,,0.2755041322314049,0.3340006990144613,1.1671083184368771,5.510082644628099,0.0,209
glucose,5,concentration_median,Mean baseline,5.510082644628099,6.6800139802892256,0.0,,0.2755041322314049,0.3340006990144613,1.1671083184368771,5.510082644628099,0.0,11
ketone,1,patch,Mean baseline,2.70875,3.383196528432837,0.0,,0.270875,0.3383196528432837,0.9299944503446048,2.70875,0.0,160
ketone,1,concentration_median,Mean baseline,2.70875,3.383196528432837,0.0,,0.270875,0.3383196528432837,0.929994450344605,2.70875,0.0,8
ketone,2,patch,Mean baseline,2.70875,3.383196528432837,1.1102230246251563e-16,,0.270875,0.3383196528432837,0.9299944503446052,2.70875,0.0,152
ketone,2,concentration_median,Mean baseline,2.70875,3.383196528432837,0.0,,0.270875,0.3383196528432837,0.9299944503446052,2.70875,0.0,8
ketone,3,patch,Mean baseline,2.70875,3.383196528432837,1.1102230246251563e-16,,0.270875,0.3383196528432837,0.9299944503446052,2.70875,0.0,152
ketone,3,concentration_median,Mean baseline,2.70875,3.383196528432837,0.0,,0.270875,0.3383196528432837,0.9299944503446052,2.70875,0.0,8
ketone,4,patch,Mean baseline,2.70875,3.383196528432837,1.1102230246251563e-16,,0.270875,0.3383196528432837,0.9299944503446052,2.70875,0.0,152
ketone,4,concentration_median,Mean baseline,2.70875,3.383196528432837,0.0,,0.270875,0.3383196528432837,0.9299944503446052,2.70875,0.0,8
ketone,5,patch,Mean baseline,2.70875,3.383196528432837,1.1102230246251563e-16,,0.270875,0.3383196528432837,0.9299944503446052,2.70875,0.0,152
ketone,5,concentration_median,Mean baseline,2.70875,3.383196528432837,0.0,,0.270875,0.3383196528432837,0.9299944503446052,2.70875,0.0,8
glucose,1,patch,Background only,4.214713147423688,6.639655869010006,0.0120467403799023,0.3435941401540266,0.2107356573711844,0.3319827934505003,0.8333675645367299,4.214713147423688,0.0,220
glucose,1,concentration_median,Background only,3.5554687308556083,5.900218889063229,0.2198439074600729,0.7181818181818183,0.1777734365427804,0.2950109444531614,0.6254148454929997,3.5554687308556083,0.0,11
glucose,2,patch,Background only,3.8649829840981496,6.291189877938511,0.1130260942021186,0.4697542742999259,0.1932491492049075,0.3145594938969255,0.756179321765444,3.8649829840981496,0.0,209
glucose,2,concentration_median,Background only,3.1587639170087827,5.168113160384586,0.4014378016204257,0.8272727272727273,0.1579381958504391,0.2584056580192292,0.5485983013365017,3.1587639170087827,0.0,11
glucose,3,patch,Background only,4.271870990538944,6.67137454521121,0.0025849791036152,0.3949180523336015,0.2135935495269472,0.3335687272605604,0.8365864086391789,4.271870990538944,0.0,209
glucose,3,concentration_median,Background only,4.232715930980729,6.6473783769011305,0.0097472496012345,0.5818181818181819,0.2116357965490364,0.3323689188450565,0.7954459025720543,4.232715930980729,0.0,11
glucose,4,patch,Background only,4.496016703263566,7.252717819231367,-0.1788181628384357,0.3489848292754234,0.2248008351631782,0.3626358909615683,0.8348421591894308,4.496016703263566,0.0,209
glucose,4,concentration_median,Background only,3.193583205858721,5.991814257148001,0.1954335083330463,0.7762638004612792,0.159679160292936,0.2995907128574001,0.5819464621319524,3.193583205858721,0.0,11
glucose,5,patch,Background only,3.823758109373593,6.23813890288096,0.1279219834064575,0.4265937496045953,0.1911879054686796,0.311906945144048,0.7673684034124404,3.823758109373593,0.0,209
glucose,5,concentration_median,Background only,3.147724957315857,5.199410558123948,0.3941662260165051,0.9293873770595388,0.1573862478657928,0.2599705279061974,0.5401176679291377,3.147724957315857,0.0,11
ketone,1,patch,Background only,0.9476162942198708,2.0342231617758384,0.6384713355545317,0.9181428770008824,0.0947616294219871,0.2034223161775838,0.2165826252138862,0.947616294219872,0.01875,160
ketone,1,concentration_median,Background only,0.6557827677890051,1.4355410997609694,0.8199567645210319,1.0,0.0655782767789005,0.1435541099760969,0.1275495724671701,0.6557827677890051,0.0,8
ketone,2,patch,Background only,0.8805220139121641,1.842322957861028,0.7034642389466813,0.9185679562164883,0.0880522013912164,0.1842322957861027,0.2148696150582643,0.8805220139121643,0.006578947368421,152
ketone,2,concentration_median,Background only,0.7883877599716913,1.7168472675913025,0.7424812413280626,0.9940297973880048,0.0788387759971691,0.1716847267591302,0.171854288262221,0.7883877599716913,0.0,8
ketone,3,patch,Background only,0.8225909356725146,1.6761015418184035,0.7545595162959148,0.914948635598486,0.0822590935672514,0.1676101541818403,0.2152679784419786,0.8225909356725146,0.0,152
ketone,3,concentration_median,Background only,0.3400083333333333,0.5649194895931827,0.9721183376776992,0.9940297973880048,0.0340008333333333,0.0564919489593182,0.1029496725547423,0.3400083333333333,0.0,8
ketone,4,patch,Background only,0.864692207602339,1.6849305317587024,0.7519669538499871,0.8704753019088485,0.0864692207602339,0.1684930531758702,0.2489446982215182,0.864692207602339,0.0,152
ketone,4,concentration_median,Background only,0.417925,0.6992883743889609,0.9572773519564995,0.9700772721497396,0.0417924999999999,0.069928837438896,0.1172563821179996,0.417925,0.0,8
ketone,5,patch,Background only,0.8480443713450294,1.597215994021287,0.7771191025213542,0.9042618449263083,0.0848044371345029,0.1597215994021287,0.2336841393800359,0.8480443713450294,0.0,152
ketone,5,concentration_median,Background only,0.4396083333333337,0.7634602787455436,0.9490764771617884,0.9761904761904764,0.0439608333333333,0.0763460278745543,0.138430927976475,0.4396083333333337,0.0,8
glucose,1,patch,Nested-selected ML,0.3476339393939394,0.877342201806517,0.9827502304400274,0.9245701376857324,0.0173816969696969,0.0438671100903258,0.0822850186008427,0.3476339393939394,0.0,220
glucose,1,concentration_median,Nested-selected ML,0.1237999999999998,0.210983513645742,0.9990024324844076,0.9454545454545454,0.0061899999999999,0.0105491756822871,0.0489205992666712,0.1237999999999998,0.0,11
