analyte,outer_fold,input_mode,target_transform,validation_mae,best_epoch,epochs_run,training_seconds
glucose,1,roi_masked,raw,0.44481180561802847,85,103,20.437781300002825
glucose,1,roi_masked,log1p,0.49705595366424243,59,77,15.998236899991753
glucose,1,full_patch,raw,0.4023239947267582,59,77,16.563347300005262
glucose,1,full_patch,log1p,0.44543216762292165,96,114,24.17103280000447
glucose,2,roi_masked,raw,0.4330124456064357,71,89,19.617793400000664
glucose,2,roi_masked,log1p,0.4822448227842928,32,50,10.834837200003676
glucose,2,full_patch,raw,0.455833343053956,80,98,20.83803159999661
glucose,2,full_patch,log1p,0.4258916923243474,67,85,18.31277560000308
glucose,3,roi_masked,raw,0.4634375172536834,58,76,16.64579730000696
glucose,3,roi_masked,log1p,0.6038171117124654,24,42,8.980629099998623
glucose,3,full_patch,raw,0.4040504396708177,119,120,25.50331759999972
glucose,3,full_patch,log1p,0.35916278942195645,114,120,25.42804110000725
glucose,4,roi_masked,raw,0.4695549876527086,41,59,12.656545699996059
glucose,4,roi_masked,log1p,0.45605380521180633,53,71,15.096739299988258
glucose,4,full_patch,raw,0.4004783291057629,97,115,26.82891739999468
glucose,4,full_patch,log1p,0.4226556904954124,120,120,28.2877676999924
glucose,5,roi_masked,raw,0.5109793571565706,63,81,18.9097308999917
glucose,5,roi_masked,log1p,0.560452360539863,56,74,16.034753299987642
glucose,5,full_patch,raw,0.46515239203461145,73,91,19.63241970000672
glucose,5,full_patch,log1p,0.5964205256613292,46,64,15.037293599991244
ketone,1,roi_masked,raw,0.11633691526983017,73,91,15.389660500004538
ketone,1,roi_masked,log1p,0.12849937404839623,27,45,7.422940799995558
ketone,1,full_patch,raw,0.1751537296012221,25,43,7.312770399992587
ketone,1,full_patch,log1p,0.12027996319225372,45,63,10.709819100011373
ketone,2,roi_masked,raw,0.20502105331116693,11,29,4.9555466000019806
ketone,2,roi_masked,log1p,0.16319322416972248,52,70,11.824304299996584
ketone,2,full_patch,raw,0.13269319994373308,56,74,12.715140800006338
ketone,2,full_patch,log1p,0.1721646808610911,47,65,10.971849199995631
ketone,3,roi_masked,raw,0.11441214829354879,43,61,10.466370199996163
ketone,3,roi_masked,log1p,0.10723855911845195,12,30,5.151187199997366
ketone,3,full_patch,raw,0.14868542508385377,46,64,11.050669999996899
ketone,3,full_patch,log1p,0.129891350121617,34,52,9.004318200008129
ketone,4,roi_masked,raw,0.14490883008973138,85,103,18.328934100005426
ketone,4,roi_masked,log1p,0.14618769986692293,26,44,7.764776500000153
ketone,4,full_patch,raw,0.14369098900571753,44,62,10.322300100000575
ketone,4,full_patch,log1p,0.13014671503792596,32,50,8.505705399991712
ketone,5,roi_masked,raw,0.11747901610165563,118,120,20.607385999988765
ketone,5,roi_masked,log1p,0.13980203168925903,40,58,9.98884019999241
ketone,5,full_patch,raw,0.18557436523178272,37,55,9.401231600000756
ketone,5,full_patch,log1p,0.13789598078256815,50,68,11.695451600011438
