analyte,outer_fold,input_mode,target_transform,selected_target,epoch,training_loss,validation_mae,learning_rate
glucose,1,roi_masked,raw,1,1,0.3773923761916883,5.080924427238219,0.001
glucose,1,roi_masked,raw,1,2,0.14676274476629314,4.170547805845526,0.001
glucose,1,roi_masked,raw,1,3,0.1442100229588422,3.510328627260374,0.001
glucose,1,roi_masked,raw,1,4,0.1189358221762108,2.589402648087823,0.001
glucose,1,roi_masked,raw,1,5,0.11460418114156434,1.597418960504541,0.001
glucose,1,roi_masked,raw,1,6,0.10224473079045614,1.328528389456203,0.001
glucose,1,roi_masked,raw,1,7,0.08433700221957582,1.814043966846119,0.001
glucose,1,roi_masked,raw,1,8,0.06348469997897292,1.159244117960488,0.001
glucose,1,roi_masked,raw,1,9,0.07689606854409882,1.1619695236859662,0.001
glucose,1,roi_masked,raw,1,10,0.08548147082328797,0.7817884882094358,0.001
glucose,1,roi_masked,raw,1,11,0.05113819101543138,0.7064144561934138,0.001
glucose,1,roi_masked,raw,1,12,0.07220584541333444,1.132862138115624,0.001
glucose,1,roi_masked,raw,1,13,0.05157790165958982,1.0494055912061655,0.001
glucose,1,roi_masked,raw,1,14,0.05814058672298084,0.5942248034190606,0.001
glucose,1,roi_masked,raw,1,15,0.05669856125658208,0.6479215472178285,0.001
glucose,1,roi_masked,raw,1,16,0.060840384797616436,0.6955427920150198,0.001
glucose,1,roi_masked,raw,1,17,0.05458534800193526,0.7746857492267067,0.001
glucose,1,roi_masked,raw,1,18,0.05468935989069216,0.6951540916730645,0.001
glucose,1,roi_masked,raw,1,19,0.05092869845755173,0.8022000081599497,0.001
glucose,1,roi_masked,raw,1,20,0.040743263867316824,0.5343986333813281,0.001
glucose,1,roi_masked,raw,1,21,0.04757954509872379,0.5771828508796681,0.001
glucose,1,roi_masked,raw,1,22,0.047193784695683104,0.728810776540438,0.001
glucose,1,roi_masked,raw,1,23,0.05354902136958006,1.1558861643705882,0.001
glucose,1,roi_masked,raw,1,24,0.052403220940719954,1.1484254811145127,0.001
glucose,1,roi_masked,raw,1,25,0.044435276813579325,0.9396201999671564,0.001
glucose,1,roi_masked,raw,1,26,0.046226593891553806,0.5932668315778824,0.001
glucose,1,roi_masked,raw,1,27,0.040907770304968866,0.5838687600943512,0.001
glucose,1,roi_masked,raw,1,28,0.03685287122022022,0.8232031446783807,0.0005
