analyte,outer_fold,feature_set,conceptual_channel_count,numeric_feature_count,float32_input_bytes_per_patch,tree_count,total_tree_nodes,mean_tree_depth,model_size_bytes,fit_seconds,inference_ms_per_patch,prediction_max_abs_difference
glucose,1,G_only,1,1,4,150,16356,8.0,333352,0.0740354000008665,0.034335681729399686,3.552713678800501e-15
glucose,2,G_only,1,1,4,150,16966,8.0,344275,0.0530861999723129,0.03425765539737837,1.7763568394002505e-15
glucose,3,G_only,1,1,4,150,16340,8.0,333319,0.053064600040670484,0.03283038266386355,1.7763568394002505e-15
glucose,4,G_only,1,1,4,150,16606,8.0,335214,0.053713499975856394,0.0373308612846961,3.552713678800501e-15
glucose,5,G_only,1,1,4,150,16656,8.0,338409,0.05158180004218593,0.03304090905092372,1.7763568394002505e-15
glucose,1,RGB_primary,3,3,12,150,138318,19.82,2382084,0.10322530003031716,0.040026363620365206,3.552713678800501e-15
glucose,2,RGB_primary,3,3,12,150,130156,19.80666666666667,2082932,0.1113173000048846,0.041510287057341,3.552713678800501e-15
glucose,3,RGB_primary,3,3,12,150,139216,19.846666666666668,2400243,0.11387130001094192,0.04079856458075487,3.552713678800501e-15
glucose,4,RGB_primary,3,3,12,150,141634,19.926666666666666,2429745,0.11298400000669062,0.04332105260961756,3.552713678800501e-15
glucose,5,RGB_primary,3,3,12,150,140978,19.88,2421812,0.10561760002747178,0.04189904321332654,3.552713678800501e-15
glucose,1,Hue_only,1,2,8,150,26456,8.0,544502,0.06587749999016523,0.03413431814723564,3.552713678800501e-15
glucose,2,Hue_only,1,2,8,150,139880,22.013333333333332,2221849,0.09486589999869466,0.03891746412169491,3.552713678800501e-15
glucose,3,Hue_only,1,2,8,150,139072,21.426666666666666,2199150,0.09850679995724931,0.042275119568421796,3.552713678800501e-15
glucose,4,Hue_only,1,2,8,150,26730,8.0,551316,0.06141419999767095,0.03363588534108403,3.552713678800501e-15
glucose,5,Hue_only,1,2,8,150,26664,8.0,550203,0.06217270001070574,0.03297464130000706,3.552713678800501e-15
glucose,1,HSV_primary,3,4,16,150,96424,21.0,1532501,0.1086354999570176,0.039200681864961305,3.552713678800501e-15
glucose,2,HSV_primary,3,4,16,150,101180,21.3,1597187,0.10796269995626062,0.03857870806792849,3.552713678800501e-15
glucose,3,HSV_primary,3,4,16,150,107440,21.266666666666666,1815107,0.1097851000376977,0.042686602891685715,1.7763568394002505e-15
glucose,4,HSV_primary,3,4,16,150,102356,21.24,1619403,0.10642040002858266,0.038272966341111075,1.7763568394002505e-15
glucose,5,HSV_primary,3,4,16,150,101790,21.44,1612257,0.10618900001281872,0.03984736840677354,3.552713678800501e-15
ketone,1,G_only,1,1,4,150,16840,8.0,340027,0.055786300043109804,0.042409062189108226,1.7763568394002505e-15
ketone,2,G_only,1,1,4,150,28726,13.606666666666667,490889,0.05602489999728277,0.04514013160491901,4.440892098500626e-16
ketone,3,G_only,1,1,4,150,17630,8.0,349585,0.05049749999307096,0.047062829061791205,1.7763568394002505e-15
ketone,4,G_only,1,1,4,150,16694,8.0,321588,0.054470199975185096,0.04451710514044144,4.440892098500626e-16
ketone,5,G_only,1,1,4,150,17198,8.0,343762,0.052025599987246096,0.04350493423101541,1.7763568394002505e-15
ketone,1,RGB_primary,3,3,12,150,70182,18.926666666666666,1187428,0.07731110003078356,0.04476218728086678,1.7763568394002505e-15
ketone,2,RGB_primary,3,3,12,150,63384,18.933333333333334,1007389,0.07495290000224486,0.04964375004515444,2.220446049250313e-16
ketone,3,RGB_primary,3,3,12,150,72966,18.506666666666668,1229417,0.08172189997276291,0.048395065708686354,1.7763568394002505e-15
ketone,4,RGB_primary,3,3,12,150,63054,18.88,1002883,0.0764428999973461,0.045823684271645584,8.881784197001252e-16
ketone,5,RGB_primary,3,3,12,150,70880,18.833333333333332,1200973,0.08170939999399707,0.05336381582310423,1.7763568394002505e-15
ketone,1,Hue_only,1,2,8,150,67736,19.386666666666667,1076833,0.0684507999685593,0.045166249947214965,2.220446049250313e-16
ketone,2,Hue_only,1,2,8,150,70938,20.0,1148676,0.07279589999234304,0.04761611834462536,9.93129189996722e-17
ketone,3,Hue_only,1,2,8,150,68552,19.526666666666667,1097420,0.07384969998383895,0.04941644740603423,9.8879238130678e-17
ketone,4,Hue_only,1,2,8,150,62948,19.593333333333334,940318,0.06636769999749959,0.04460921033904398,1.1102230246251565e-16
ketone,5,Hue_only,1,2,8,150,69798,19.6,1116133,0.07201750000240281,0.049625657993601635,4.440892098500626e-16
ketone,1,HSV_primary,3,4,16,150,49998,18.273333333333333,832502,0.08322969998698682,0.04578718726406805,1.1102230246251565e-16
ketone,2,HSV_primary,3,4,16,150,51632,17.953333333333333,853156,0.08021789998747408,0.04548157908414539,9.584347204771859e-17
ketone,3,HSV_primary,3,4,16,150,48762,18.366666666666667,784919,0.07814960001269355,0.04844835539667034,1.7763568394002505e-15
ketone,4,HSV_primary,3,4,16,150,50784,18.08,837209,0.0807247000047937,0.04613421046279224,2.220446049250313e-16
ketone,5,HSV_primary,3,4,16,150,52542,18.013333333333332,865313,0.079086699988693,0.04693453956861049,1.1102230246251565e-16
