analyte,outer_fold,feature_set,conceptual_channel_count,numeric_feature_count,float32_input_bytes_per_patch,tree_count,total_tree_nodes,mean_tree_depth,model_size_bytes,fit_seconds,inference_ms_per_patch,prediction_max_abs_difference
glucose,1,G_only,1,1,4,150,22896,10.506666666666666,535565,0.10361579997697845,0.036334090823815626,1.7763568394002505e-15
glucose,2,G_only,1,1,4,150,18658,8.0,447771,0.09010939998552203,0.033512201024281776,1.7763568394002505e-15
glucose,3,G_only,1,1,4,150,18786,8.0,453253,0.08888340002158657,0.03403755983796737,3.552713678800501e-15
glucose,4,G_only,1,1,4,150,18484,8.0,445713,0.09353589999955148,0.03578540652936868,1.7763568394002505e-15
glucose,5,G_only,1,1,4,150,18110,8.0,436503,0.0893311999971047,0.03297583734211133,1.7763568394002505e-15
glucose,1,RGB_primary,3,3,12,150,79848,16.64,1384856,0.1485044999863021,0.03752863637849011,3.552713678800501e-15
glucose,2,RGB_primary,3,3,12,150,73802,17.553333333333335,1187774,0.148609799973201,0.03714665074823825,3.552713678800501e-15
glucose,3,RGB_primary,3,3,12,150,79984,16.686666666666667,1394182,0.14597509999293834,0.037573445053619633,3.552713678800501e-15
glucose,4,RGB_primary,3,3,12,150,74406,17.54,1197501,0.16440109995892271,0.03713014358476375,3.552713678800501e-15
glucose,5,RGB_primary,3,3,12,150,81370,17.253333333333334,1411645,0.14902060001622885,0.03752751182876171,3.552713678800501e-15
glucose,1,Hue_only,1,2,8,150,17030,8.0,343995,0.1182740000076592,0.032389318221248686,3.552713678800501e-15
glucose,2,Hue_only,1,2,8,150,59028,20.866666666666667,920813,0.12718489998951554,0.036114354035260074,3.552713678800501e-15
glucose,3,Hue_only,1,2,8,150,61438,20.226666666666667,1023932,0.127115799987223,0.03874306213311209,1.7763568394002505e-15
glucose,4,Hue_only,1,2,8,150,17068,8.0,348752,0.11052599997492507,0.03204689000211834,3.552713678800501e-15
glucose,5,Hue_only,1,2,8,150,17136,8.0,348843,0.1059436000068672,0.030595215308172493,3.552713678800501e-15
glucose,1,HSV_primary,3,4,16,150,41344,15.64,678787,0.16875790001358837,0.03459840915060009,3.552713678800501e-15
glucose,2,HSV_primary,3,4,16,150,19524,8.0,368893,0.14007490000221878,0.03130909077194854,3.552713678800501e-15
glucose,3,HSV_primary,3,4,16,150,42490,16.19333333333333,696437,0.1596177999745123,0.03724976074569925,3.552713678800501e-15
glucose,4,HSV_primary,3,4,16,150,43526,16.013333333333332,712952,0.18163549999007955,0.03430167473206502,3.552713678800501e-15
glucose,5,HSV_primary,3,4,16,150,43722,16.12,716222,0.16206949995830655,0.03408181813041987,3.552713678800501e-15
ketone,1,G_only,1,1,4,150,19286,11.5,427627,0.09230730001581833,0.044617500134336296,2.220446049250313e-16
ketone,2,G_only,1,1,4,150,15864,8.0,354065,0.08631849999073893,0.042671052812549626,4.440892098500626e-16
ketone,3,G_only,1,1,4,150,15684,8.0,346876,0.08406289998674765,0.04360657897594042,4.440892098500626e-16
ketone,4,G_only,1,1,4,150,15842,8.0,352528,0.09083589998772368,0.046003618511971774,2.220446049250313e-16
ketone,5,G_only,1,1,4,150,15988,8.0,355214,0.08489589998498559,0.042727631616320365,4.440892098500626e-16
ketone,1,RGB_primary,3,3,12,150,34116,16.113333333333333,567624,0.121300499944482,0.04468156239454402,8.881784197001252e-16
ketone,2,RGB_primary,3,3,12,150,31452,17.02,498173,0.13081249996321276,0.04411052635221399,2.220446049250313e-16
ketone,3,RGB_primary,3,3,12,150,16148,8.0,309217,0.1129685000050813,0.04100657909140481,8.881784197001252e-16
ketone,4,RGB_primary,3,3,12,150,30676,17.293333333333333,486645,0.12411989999236539,0.04615888132033624,2.220446049250313e-16
ketone,5,RGB_primary,3,3,12,150,31326,17.206666666666667,496199,0.12832369998795912,0.04342467122784767,1.7763568394002505e-15
ketone,1,Hue_only,1,2,8,150,24976,14.366666666666667,395932,0.10188779997406527,0.041007187610375695,9.999054535747565e-17
ketone,2,Hue_only,1,2,8,150,27266,15.433333333333334,428138,0.10583670000778511,0.04629473685207287,9.71445146547012e-17
ketone,3,Hue_only,1,2,8,150,26106,14.926666666666666,413039,0.10625049995724112,0.042469079122192374,9.71445146547012e-17
ketone,4,Hue_only,1,2,8,150,26520,15.16,417928,0.10437340004136786,0.04224769738931699,9.020562075079397e-17
ketone,5,Hue_only,1,2,8,150,26986,15.293333333333333,422786,0.10617070004809648,0.04516315790456965,9.367506770274758e-17
ketone,1,HSV_primary,3,4,16,150,17772,12.58,297719,0.12608310003997758,0.039414999992004596,1.7763568394002505e-15
ketone,2,HSV_primary,3,4,16,150,18664,13.133333333333333,310438,0.1261233999975957,0.041328947286513686,1.7763568394002505e-15
ketone,3,HSV_primary,3,4,16,150,19604,13.513333333333334,322316,0.13106990000233054,0.04554901323373135,9.194034422677078e-17
ketone,4,HSV_primary,3,4,16,150,18346,13.153333333333334,306846,0.12474790000123903,0.04093421031077588,9.999054535747565e-17
ketone,5,HSV_primary,3,4,16,150,18788,13.146666666666667,311288,0.12618230003863573,0.04090493415500723,9.71445146547012e-17
