analyte,feature_set,model,outer_fold,target_transform,inner_best_mae,best_parameters
glucose,RGB_primary,Ridge,1,log1p,1.3953349869520668,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,ElasticNet,1,log1p,1.4160835042172337,"{""alpha"": 0.001, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
glucose,RGB_primary,SVR,1,log1p,0.7052548691450988,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,RGB_primary,RandomForest,1,log1p,0.7112340117904011,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,ExtraTrees,1,log1p,0.5614895404481842,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,HSV_primary,Ridge,1,log1p,1.0914181713540012,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,HSV_primary,ElasticNet,1,log1p,1.0989777867239159,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,HSV_primary,SVR,1,log1p,0.4422136095988801,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,HSV_primary,RandomForest,1,raw,0.3706543737373737,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,HSV_primary,ExtraTrees,1,raw,0.3607784393939394,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,Ridge,1,log1p,0.9312046367618564,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,ElasticNet,1,log1p,0.9951436279855272,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,SVR,1,log1p,0.4597443063271087,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,RandomForest,1,raw,0.3729654090909091,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,ExtraTrees,1,raw,0.35673496464646465,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,Chromaticity_secondary,ExtraTrees,1,log1p,0.5716231557482461,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,Background_adjusted_secondary,ExtraTrees,1,log1p,1.0999583132120168,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,Background_negative_control,ExtraTrees,1,log1p,4.11891110499424,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,Ridge,2,log1p,1.3861760661268125,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,ElasticNet,2,log1p,1.4028234476439796,"{""alpha"": 0.001, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
glucose,RGB_primary,SVR,2,log1p,0.6783569304717865,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,RGB_primary,RandomForest,2,raw,0.6323487366161615,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_primary,ExtraTrees,2,raw,0.5259926843434343,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,HSV_primary,Ridge,2,log1p,1.0762531387235037,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,HSV_primary,ElasticNet,2,log1p,1.0839221177674427,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,HSV_primary,SVR,2,raw,0.42843767387988196,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
glucose,HSV_primary,RandomForest,2,raw,0.36225596569032265,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,HSV_primary,ExtraTrees,2,raw,0.36142673232323236,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,Ridge,2,log1p,0.9361706570134605,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,ElasticNet,2,log1p,0.9887412235404851,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,SVR,2,log1p,0.45932547511140986,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,RandomForest,2,raw,0.36836797979797986,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,ExtraTrees,2,raw,0.3658569040404041,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,Chromaticity_secondary,ExtraTrees,2,log1p,0.5720543422042872,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,Background_adjusted_secondary,ExtraTrees,2,raw,1.0667145,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,Background_negative_control,ExtraTrees,2,log1p,4.182600614359613,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,Ridge,3,log1p,1.4082967082947384,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,ElasticNet,3,log1p,1.426018221593338,"{""alpha"": 0.001, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
glucose,RGB_primary,SVR,3,log1p,0.6735960963449033,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
