analyte,feature_set,model,folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,normalized_mae_mean
glucose,G_only,SVR,5,2.378542023477384,0.11055153389320782,3.8958515618965266,0.16547183806201,0.6593751005137352,0.029240195230848295,0.11892710117386922
glucose,G_only,ExtraTrees,5,2.4626048253023596,0.11064456221829723,4.021772771489381,0.20135434537442445,0.6367962448152149,0.03631828899652804,0.12313024126511798
glucose,G_only,RandomForest,5,2.4709554624409344,0.12490483558432604,4.075049664178556,0.22292911164881646,0.626964977180337,0.04076212696099534,0.12354777312204672
glucose,G_only,Ridge,5,2.7623378963320957,0.12019410549536806,4.384289160768885,0.1618317536776323,0.5687622693264998,0.03178953599607231,0.13811689481660477
glucose,G_only,ElasticNet,5,2.7638851200351686,0.12013129708288757,4.386759634113579,0.16203897614616508,0.5682754680346991,0.03184662170307203,0.13819425600175844
glucose,HSV_primary,RandomForest,5,0.3432931770427415,0.04057429117200366,0.934311035283218,0.09754310589764514,0.9802667460525806,0.0041075157676672995,0.01716465885213702
glucose,HSV_primary,ExtraTrees,5,0.35221277780639504,0.05005775258870381,0.9174549342097752,0.11799996570637648,0.9808871961167096,0.0048034936912368115,0.01761063889031968
glucose,HSV_primary,SVR,5,0.42146074430031416,0.0354078795865475,0.927367960236635,0.07033177370323712,0.9806383125051081,0.002958463542511021,0.02107303721501564
glucose,HSV_primary,Ridge,5,1.0709963600165364,0.03542479887025746,1.865798587968106,0.058308583479165094,0.9219246454489196,0.004934170515797362,0.053549818000826775
glucose,HSV_primary,ElasticNet,5,1.078513946456764,0.035077431603213444,1.8832468046992894,0.058544026540587484,0.9204582094804602,0.0049995451284504154,0.05392569732283814
glucose,Hue_only,ExtraTrees,5,0.5319240661085284,0.05628692200692829,1.2823793874046903,0.1926433520831456,0.9624811965632146,0.011264818570615396,0.02659620330542642
glucose,Hue_only,RandomForest,5,0.5327391578641573,0.06289550047044434,1.2923890638425466,0.17346305628012815,0.9620295200202579,0.010232514980357658,0.026636957893207865
glucose,Hue_only,SVR,5,0.5341547717770154,0.04437625494671556,1.2423669105852166,0.12015315301635406,0.965151617667596,0.00650013753349995,0.026707738588850772
glucose,Hue_only,Ridge,5,1.208400738327561,0.022003213428999333,2.154990829670738,0.021190297505217566,0.8959194203115957,0.002048970738395164,0.06042003691637805
glucose,Hue_only,ElasticNet,5,1.2098530139670163,0.021968254413699775,2.157425526527669,0.021064348576238047,0.8956842217324823,0.0020392905486974213,0.06049265069835082
glucose,RGB_primary,ExtraTrees,5,0.5289809298126166,0.03386998339471472,1.1724214371931925,0.117284217139263,0.9689489875745917,0.005889950636305467,0.0264490464906308
glucose,RGB_primary,RandomForest,5,0.6308399249128323,0.06836167446208959,1.3527822777927851,0.15461248344422418,0.9585603605549242,0.009966388044490949,0.03154199624564158
glucose,RGB_primary,SVR,5,0.662992191707634,0.05706959122121781,1.2938468168257575,0.10307895669742285,0.9622939877763038,0.006196005076623501,0.033149609585381656
glucose,RGB_primary,Ridge,5,1.381835844933921,0.02894384802324599,2.4946368099553604,0.05163960477586915,0.8604889007501972,0.0057354150376694385,0.06909179224669601
glucose,RGB_primary,ElasticNet,5,1.4028748820182588,0.025945189098690452,2.528439378093549,0.04581281083680751,0.8566939928520757,0.005167272931269917,0.0701437441009129
ketone,G_only,SVR,5,0.5946346637787789,0.051449939507238966,1.2983645002796664,0.1462854871659048,0.8512260054972598,0.0335646977938382,0.059463466377877895
ketone,G_only,RandomForest,5,0.6226133985743555,0.04350613742341538,1.2697523055324056,0.08454495808490378,0.8586417484808925,0.018385890488541962,0.06226133985743555
ketone,G_only,ExtraTrees,5,0.6262998844096265,0.028103494338846114,1.237307687918331,0.06387272207829582,0.8659626436238052,0.013564246193367857,0.06262998844096265
