analyte,outer_fold,feature_set,model,inner_best_mae,best_parameters
glucose,1,G_only,Ridge,2.8023639800964846,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,1,G_only,ElasticNet,2.803417446011104,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,1,G_only,SVR,2.378795986003629,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,1,G_only,RandomForest,2.4762141836871163,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,1,G_only,ExtraTrees,2.4678129223474046,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,1,Hue_only,Ridge,1.219598234605887,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,1,Hue_only,ElasticNet,1.220929926063405,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,1,Hue_only,SVR,0.537091610051702,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,1,Hue_only,RandomForest,0.5482246693037157,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""raw""}"
glucose,1,Hue_only,ExtraTrees,0.544533039768621,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,2,G_only,Ridge,2.792910390570195,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,2,G_only,ElasticNet,2.793697117318177,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,2,G_only,SVR,2.3800574867459825,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,2,G_only,RandomForest,2.4721285807677487,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
glucose,2,G_only,ExtraTrees,2.4531857661625667,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,2,Hue_only,Ridge,1.2218724971789776,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,2,Hue_only,ElasticNet,1.2232143263437882,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,2,Hue_only,SVR,0.539485424689027,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,2,Hue_only,RandomForest,0.49189131313131307,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,2,Hue_only,ExtraTrees,0.47483492124665433,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,3,G_only,Ridge,2.895891013475855,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,3,G_only,ElasticNet,2.8967059219188456,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,3,G_only,SVR,2.4161886219640456,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,3,G_only,RandomForest,2.506971849071887,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
glucose,3,G_only,ExtraTrees,2.5044047841285466,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,3,Hue_only,Ridge,1.206466534876379,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,3,Hue_only,ElasticNet,1.2078441213596607,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,3,Hue_only,SVR,0.5362139309234367,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
glucose,3,Hue_only,RandomForest,0.5082585981904536,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,3,Hue_only,ExtraTrees,0.4996261334011587,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,4,G_only,Ridge,2.7848267465252885,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,4,G_only,ElasticNet,2.785653808875343,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,4,G_only,SVR,2.4070559367072146,"{""C"": 1.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,4,G_only,RandomForest,2.4868545525585506,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
glucose,4,G_only,ExtraTrees,2.4580411827514657,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,4,Hue_only,Ridge,1.217789854881532,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,4,Hue_only,ElasticNet,1.2191220467970907,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,4,Hue_only,SVR,0.5342438763961542,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
