analyte,outer_fold,feature_set,model,feature_count,target_transform,inner_best_mae,mae,rmse,r2,normalized_mae
glucose,1,G_only,Ridge,1,log1p,2.8023639800964846,2.7129248199702034,4.285549488711928,0.5884161868060209,0.13564624099851016
glucose,1,G_only,ElasticNet,1,log1p,2.803417446011104,2.714182242378242,4.287811967745651,0.5879814954995586,0.1357091121189121
glucose,1,G_only,SVR,1,log1p,2.378795986003629,2.337573124570084,3.8191988984111975,0.6731189005566685,0.1168786562285042
glucose,1,G_only,RandomForest,1,log1p,2.4762141836871163,2.513375103237924,4.115622717911595,0.6204085961916049,0.12566875516189618
glucose,1,G_only,ExtraTrees,1,log1p,2.4678129223474046,2.4699495434794176,4.018483782230449,0.638115737467212,0.12349747717397089
glucose,1,Hue_only,Ridge,2,log1p,1.219598234605887,1.18831961808838,2.127258971426669,0.8985887852234072,0.059415980904419
glucose,1,Hue_only,ElasticNet,2,log1p,1.220929926063405,1.1897748056044857,2.13005882742989,0.8983216586927031,0.059488740280224287
glucose,1,Hue_only,SVR,2,log1p,0.537091610051702,0.5629010085842009,1.3262204205819788,0.9605836252218181,0.028145050429210044
glucose,1,Hue_only,RandomForest,2,raw,0.5482246693037157,0.5175398953004196,1.2367274338269307,0.9657237543572146,0.025876994765020978
glucose,1,Hue_only,ExtraTrees,2,log1p,0.544533039768621,0.5326164596037645,1.2213311530483408,0.9665718665557074,0.026630822980188224
glucose,2,G_only,Ridge,1,log1p,2.792910390570195,2.914627768776802,4.54287425526021,0.5375053758692367,0.1457313884388401
glucose,2,G_only,ElasticNet,1,log1p,2.793697117318177,2.91630960514791,4.545368893803152,0.5369972950230801,0.1458154802573955
glucose,2,G_only,SVR,1,log1p,2.3800574867459825,2.413515703619932,3.9610219676309253,0.6483911812080072,0.1206757851809966
glucose,2,G_only,RandomForest,1,log1p,2.4721285807677487,2.557568159743267,4.201191560842818,0.6044601667949494,0.12787840798716335
glucose,2,G_only,ExtraTrees,1,log1p,2.4531857661625667,2.5712908435444195,4.18644280300328,0.6072324665878224,0.12856454217722096
glucose,2,Hue_only,Ridge,2,log1p,1.2218724971789776,1.1894493291396984,2.157764126098823,0.8956594325837356,0.05947246645698492
glucose,2,Hue_only,ElasticNet,2,log1p,1.2232143263437882,1.190933535557338,2.1601963150855754,0.8954240787732809,0.0595466767778669
glucose,2,Hue_only,SVR,2,log1p,0.539485424689027,0.5497840469511877,1.3646305932335654,0.9582673979592168,0.02748920234755938
glucose,2,Hue_only,RandomForest,2,raw,0.49189131313131307,0.5533728867623605,1.4426945141427872,0.9533561899594523,0.027668644338118026
glucose,2,Hue_only,ExtraTrees,2,log1p,0.47483492124665433,0.5546439889809545,1.4991256923706378,0.9496358682036068,0.02773219944904772
glucose,3,G_only,Ridge,1,log1p,2.895891013475855,2.614693368461616,4.357290870058473,0.5745207730507295,0.1307346684230808
glucose,3,G_only,ElasticNet,1,log1p,2.8967059219188456,2.616833945884532,4.360249031499194,0.5739428619017481,0.13084169729422662
glucose,3,G_only,SVR,1,log1p,2.4161886219640456,2.205663338743258,3.7184643496071135,0.6901350164112521,0.11028316693716289
glucose,3,G_only,RandomForest,1,log1p,2.506971849071887,2.293566943646872,3.8676218048084583,0.6647774253915049,0.1146783471823436
glucose,3,G_only,ExtraTrees,1,log1p,2.5044047841285466,2.307922989985126,3.8550278014712323,0.6669570183272544,0.11539614949925629
glucose,3,Hue_only,Ridge,2,log1p,1.206466534876379,1.2401027122313404,2.186095995818225,0.8929014194799932,0.06200513561156702
glucose,3,Hue_only,ElasticNet,2,log1p,1.2078441213596607,1.241498537034481,2.1884781565751634,0.8926678844111667,0.062074926851724055
glucose,3,Hue_only,SVR,2,raw,0.5362139309234367,0.5517085400195056,1.2187167960215881,0.9667148245723092,0.02758542700097528
glucose,3,Hue_only,RandomForest,2,log1p,0.5082585981904536,0.630429018865153,1.5075709108519966,0.9490668243279492,0.03152145094325765
