patch_id,image_id,analyte,concentration_order,concentration_mg_ml,well_id,grid_row,grid_col,canonical_width_px,canonical_height_px,center_x_px,center_y_px,circle_radius_px,crop_x0_px,crop_y0_px,crop_x1_px,crop_y1_px,crop_width_px,crop_height_px,crop_file,grid_residual_px,hough_param2,candidate_count,qc_status
glucose_01_c0_wA01,glucose_01_c0,glucose,1,0.0,A01,1,1,2992,2992,405.042,905.454,62.383,331,831,480,980,149,149,crops/glucose/glucose_01_c0/glucose_01_c0_wA01.png,11.589,45,97,pass_geometry
glucose_01_c0_wA02,glucose_01_c0,glucose,1,0.0,A02,1,2,2992,2992,573.342,898.722,64.403,497,823,650,976,153,153,crops/glucose/glucose_01_c0/glucose_01_c0_wA02.png,5.149,45,97,pass_geometry
glucose_01_c0_wA03,glucose_01_c0,glucose,1,0.0,A03,1,3,2992,2992,755.106,894.234,61.037,682,821,829,968,147,147,crops/glucose/glucose_01_c0/glucose_01_c0_wA03.png,4.65,45,97,pass_geometry
glucose_01_c0_wA04,glucose_01_c0,glucose,1,0.0,A04,1,4,2992,2992,941.358,891.99,66.647,862,813,1021,972,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wA04.png,0.757,45,97,pass_geometry
glucose_01_c0_wA05,glucose_01_c0,glucose,1,0.0,A05,1,5,2992,2992,1125.366,883.014,67.32,1045,803,1206,964,161,161,crops/glucose/glucose_01_c0/glucose_01_c0_wA05.png,2.42,45,97,pass_geometry
glucose_01_c0_wA06,glucose_01_c0,glucose,1,0.0,A06,1,6,2992,2992,1307.13,880.77,72.032,1222,796,1393,967,171,171,crops/glucose/glucose_01_c0/glucose_01_c0_wA06.png,2.056,45,97,pass_geometry
glucose_01_c0_wA07,glucose_01_c0,glucose,1,0.0,A07,1,7,2992,2992,1493.382,874.038,72.032,1408,789,1579,960,171,171,crops/glucose/glucose_01_c0/glucose_01_c0_wA07.png,0.669,45,97,pass_geometry
glucose_01_c0_wA08,glucose_01_c0,glucose,1,0.0,A08,1,8,2992,2992,1684.122,871.794,68.666,1602,790,1767,955,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wA08.png,7.874,45,97,pass_geometry
glucose_01_c0_wA09,glucose_01_c0,glucose,1,0.0,A09,1,9,2992,2992,1863.642,862.818,68.218,1783,782,1946,945,163,163,crops/glucose/glucose_01_c0/glucose_01_c0_wA09.png,1.695,45,97,pass_geometry
glucose_01_c0_wA10,glucose_01_c0,glucose,1,0.0,A10,1,10,2992,2992,2052.138,849.354,64.852,1975,772,2130,927,155,155,crops/glucose/glucose_01_c0/glucose_01_c0_wA10.png,7.809,45,97,pass_geometry
glucose_01_c0_wA11,glucose_01_c0,glucose,1,0.0,A11,1,11,2992,2992,2242.878,849.354,65.749,2165,771,2322,928,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wA11.png,9.476,45,97,pass_geometry
glucose_01_c0_wA12,glucose_01_c0,glucose,1,0.0,A12,1,12,2992,2992,2420.154,842.622,62.159,2346,769,2495,918,149,149,crops/glucose/glucose_01_c0/glucose_01_c0_wA12.png,1.343,45,97,pass_geometry
glucose_01_c0_wB01,glucose_01_c0,glucose,1,0.0,B01,2,1,2992,2992,407.286,1093.95,64.627,330,1017,485,1172,155,155,crops/glucose/glucose_01_c0/glucose_01_c0_wB01.png,8.013,45,97,pass_geometry
glucose_01_c0_wB02,glucose_01_c0,glucose,1,0.0,B02,2,2,2992,2992,584.562,1089.462,64.403,509,1013,662,1166,153,153,crops/glucose/glucose_01_c0/glucose_01_c0_wB02.png,3.819,45,97,pass_geometry
glucose_01_c0_wB03,glucose_01_c0,glucose,1,0.0,B03,2,3,2992,2992,761.838,1080.486,69.34,680,998,845,1163,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wB03.png,2.489,45,97,pass_geometry
glucose_01_c0_wB04,glucose_01_c0,glucose,1,0.0,B04,2,4,2992,2992,943.602,1075.998,70.686,860,992,1029,1161,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wB04.png,3.516,45,97,pass_geometry
glucose_01_c0_wB05,glucose_01_c0,glucose,1,0.0,B05,2,5,2992,2992,1127.61,1071.51,69.34,1046,990,1211,1155,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wB05.png,3.209,45,97,pass_geometry
glucose_01_c0_wB06,glucose_01_c0,glucose,1,0.0,B06,2,6,2992,2992,1311.618,1071.51,66.422,1233,993,1392,1152,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wB06.png,7.611,45,97,pass_geometry
glucose_01_c0_wB07,glucose_01_c0,glucose,1,0.0,B07,2,7,2992,2992,1495.626,1060.29,62.608,1422,986,1571,1135,149,149,crops/glucose/glucose_01_c0/glucose_01_c0_wB07.png,3.221,45,97,pass_geometry
glucose_01_c0_wB08,glucose_01_c0,glucose,1,0.0,B08,2,8,2992,2992,1686.366,1053.558,70.462,1602,970,1771,1139,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wB08.png,3.475,45,97,pass_geometry
glucose_01_c0_wB09,glucose_01_c0,glucose,1,0.0,B09,2,9,2992,2992,1868.13,1046.826,61.934,1794,973,1943,1122,149,149,crops/glucose/glucose_01_c0/glucose_01_c0_wB09.png,0.418,45,97,pass_geometry
glucose_01_c0_wB10,glucose_01_c0,glucose,1,0.0,B10,2,10,2992,2992,2054.382,1035.606,65.974,1976,958,2133,1115,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wB10.png,5.924,45,97,pass_geometry
glucose_01_c0_wB11,glucose_01_c0,glucose,1,0.0,B11,2,11,2992,2992,2238.39,1037.85,69.34,2156,956,2321,1121,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wB11.png,2.279,45,97,pass_geometry
glucose_01_c0_wB12,glucose_01_c0,glucose,1,0.0,B12,2,12,2992,2992,2422.398,1031.118,69.788,2339,948,2506,1115,167,167,crops/glucose/glucose_01_c0/glucose_01_c0_wB12.png,3.029,45,97,pass_geometry
glucose_01_c0_wC01,glucose_01_c0,glucose,1,0.0,C01,3,1,2992,2992,402.798,1273.47,61.934,329,1199,478,1348,149,149,crops/glucose/glucose_01_c0/glucose_01_c0_wC01.png,3.746,45,97,pass_geometry
glucose_01_c0_wC02,glucose_01_c0,glucose,1,0.0,C02,3,2,2992,2992,589.05,1268.982,69.115,507,1187,672,1352,165,165,crops/glucose/glucose_01_c0/glucose_01_c0_wC02.png,3.053,45,97,pass_geometry
glucose_01_c0_wC03,glucose_01_c0,glucose,1,0.0,C03,3,3,2992,2992,766.326,1268.982,65.974,688,1191,845,1348,157,157,crops/glucose/glucose_01_c0/glucose_01_c0_wC03.png,4.584,45,97,pass_geometry
glucose_01_c0_wC04,glucose_01_c0,glucose,1,0.0,C04,3,4,2992,2992,948.09,1260.006,69.788,865,1177,1032,1344,167,167,crops/glucose/glucose_01_c0/glucose_01_c0_wC04.png,4.476,45,97,pass_geometry
glucose_01_c0_wC05,glucose_01_c0,glucose,1,0.0,C05,3,5,2992,2992,1132.098,1262.25,66.422,1053,1183,1212,1342,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wC05.png,8.421,45,97,pass_geometry
glucose_01_c0_wC06,glucose_01_c0,glucose,1,0.0,C06,3,6,2992,2992,1316.106,1248.786,61.71,1243,1176,1390,1323,147,147,crops/glucose/glucose_01_c0/glucose_01_c0_wC06.png,3.653,45,97,pass_geometry
glucose_01_c0_wC07,glucose_01_c0,glucose,1,0.0,C07,3,7,2992,2992,1506.846,1244.298,70.91,1423,1160,1592,1329,169,169,crops/glucose/glucose_01_c0/glucose_01_c0_wC07.png,2.993,45,97,pass_geometry
glucose_01_c0_wC08,glucose_01_c0,glucose,1,0.0,C08,3,8,2992,2992,1690.854,1242.054,66.647,1612,1163,1771,1322,159,159,crops/glucose/glucose_01_c0/glucose_01_c0_wC08.png,4.522,45,97,pass_geometry
